fam162a	FAM162B
ms4a17a.4	MS4A18
ms4a17a.4	MS4A10
ms4a17a.4	MS4A14
ms4a17a.4	MS4A1
ms4a17a.4	MS4A2
ms4a17a.4	MS4A13
ms4a17a.4	MS4A6E
ms4a17a.4	MS4A6A
ms4a17a.4	MS4A15
ms4a17a.4	MS4A5
ms4a17a.4	MS4A7
abhd14b	ABHD14B
slc22a15	SLC22A9
slc22a15	SLC22A24
slc22a15	SLC22A10
slc22a15	SLC22A25
slc22a15	SLC22A11
adgrb1b	ADGRB1
tor4ab	TOR4A
ciao2b	CIAO2B
sh3bgrl3	SH3BGRL3
prr36a	PRR36
itgb3b	ITGB3
steap4	STEAP4
plg	PLG
rpl5a	RPL5
deptor	DEPTOR
gnb5a	GNB5
adamts9	ADAMTS9
matcap2	MATCAP2
b3gntl1	B3GNTL1
phyhd1	PHYHD1
agtrap	AGTRAP
zzz3	ZZZ3
parp16	PARP16
nlgn4xa	NLGN4X
nlgn4xa	NLGN4Y
pudp	PUDP
mxd4	MXD4
tyw1	TYW1B
tyw1	TYW1
ambp	AMBP
arpp19b	ARPP19
rps28	RPS28
chka	CHKA
cdh28	CDH3
tacr3a	TACR3
ebag9	EBAG9
f13a1b	F13A1
colec11	COLEC11
si:ch211-197n1.2	SPATA21
si:dkey-163f12.6	FHAD1
hsd11b1la	HSD11B1L
grm6b	GRM6
thy1	THY1
mybl2b	MYBL2
ccsapa	CCSAP
ahcyl1	AHCYL1
mif4gda	MIF4GD
drd4a	DRD4
atp1a2a	ATP1A2
ccr10	CCR10
arhgap21b	ARHGAP21
apmap	APMAP
pvrl2l	TIGIT
pvrl2l	PVR
pvrl2l	NECTIN2
pvrl2l	NCR3
hephl1b	HEPH
iffo1b	IFFO1
si:dkey-65b12.6	FCGBP
grb7	GRB7
ext1a	EXT1
nubp1	NUBP1
doc2b	DOC2B
tmc8	TMC8
rprma	RPRM
ankk1	ANKK1
trmt1l	TRMT1L
lyplal1	LYPLAL1
rbm48	RBM48
igbp1	IGBP1C
igbp1	IGBP1
gsk3ab	GSK3A
gpr158b	GPR158
dazap1	DAZAP1
trpc4a	TRPC4
zc3h11a	ZC3H11A
zc3h11a	ZC3H11B
zc3h11a	ZC3H11C
zc3h11a	C12orf50
nf1b	NF1
dcaf12	DCAF12
atp8b4	ATP8B4
rnf169	RNF169
aimp1a	AIMP1
creb3l3l	CREB3
si:dkeyp-97a10.3	VSTM5
cd82a	CD82
fbxo15	FBXO15
psmb7	PSMB7
col8a1b	COL8A1
dnmt3ab	DNMT3A
sla2b	SLA2
matn3a	MATN3
lrrc4ba	LRRC4B
atg3	ATG3
sh3glb1b	SH3GLB1
pagr1	PAGR1
eif4h	EIF4H
skia	SKI
mdh1b	MDH1B
znf507	ZNF507
josd1	JOSD1
zgc:162025	C12orf43
cd81a	CD81
rnf141	RNF141
mydgf	MYDGF
pkp3b	PKP3
tnfaip8l1	TNFAIP8L1
marchf5	MARCHF5
ihhb	DHH
bmi1b	BMI1
ccdc90b	CCDC90B
rpl5b	RPL5
g3bp2a	G3BP2
timm23a	TIMM23
timm23a	TIMM23B
nyx	NYX
rpap1	RPAP1
nutf2	NUTF2
ift46	IFT46
naa60	NAA60
prune2	PRUNE2
cebpz	CEBPZ
yars2	YARS2
ndufaf7	NDUFAF7
btk	BTK
itpkca	ITPKC
ddx59	DDX59
tmc2b	TMC2
chrna5	CHRNA5
timm17b	TIMM17B
yeats4	YEATS4
fmoda	FMOD
gypc	GYPC
zcrb1	ZCRB1
pcdh11	PCDH11X
pcdh11	PCDH11Y
utp4	UTP4
ost4	OST4
mfrp	MFRP
arsg	ARSG
tbcc	TBCC
dalrd3	DALRD3
adipor1a	ADIPOR1
si:ch73-281i18.7	MAP7D1
arhgef38	ARHGEF38
ncoa5	NCOA5
arhgdig	ARHGDIG
tnni1a	TNNI1
cnot6l	CNOT6L
ddr2b	DDR2
spint1b	WFDC8
spint1b	WFDC6
spint1b	SPINT1
spint1b	EPPIN
spint1b	SPINT4
spint1b	LRP11
sftpbb	PSAPL1
sftpbb	SFTPB
tbl1xr1a	TBL1XR1
kcnk6	KCNK6
psd2	PSD2
proca	PROC
smarcd1	SMARCD1
si:dkeyp-72g9.4	DEPP1
nts	NTS
pi15a	PI15
ptbp3	PTBP3
prkag3a	PRKAG3
itgb5	ITGB5
cyp1b1	CYP1B1
sgca	SGCA
terb1	TERB1
kctd8	KCTD8
ttpal	TTPAL
aldh16a1	ALDH16A1
BDKRB2	BDKRB2
rtcb	RTCB
ptprfb	PTPRF
stoml1	STOML1
rubcnl	RUBCNL
il15	IL15
nmnat2	NMNAT2
F2R	F2R
kpna2	KPNA2
fmnl1a	FMNL1
crot	CROT
glsb	GLS
itgbl1	ITGBL1
tnnt2a	TNNT2
birc6	BIRC6
eppk1	DSP
fam102bb	EEIG2
cacng8b	CACNG8
si:dkey-208m12.2	BTN2A1
smpd2b	SMPD2
hcfc2	KLHDC9
selenok	SELENOK
elfn2a	ELFN2
ccn4a	CCN4
ccdc24	CCDC24
ccny	CCNY
ntn2	NTN3
csmd2	CR2
lft2	LEFTY2
lft2	LEFTY1
ugp2b	UGP2
pnocb	PNOC
epd	EPDR1
C5H2orf68	C2orf68
mtmr10	MTMR10
myo15ab	MYO15A
dnmt3bb.3	DNMT3L
dmtn	DMTN
thrap3b	THRAP3
cul3a	CUL3
diras1b	DIRAS1
calm1a	CALM3
calm1a	CALML3
cnep1r1	CNEP1R1
rin2b	RIN2
rrp7a	RRP7A
tsr2	TSR2
dhcr7	DHCR7
zc3h12aa	ZC3H12A
si:ch211-125e6.13	REG3G
si:ch211-125e6.13	REG3A
si:ch211-125e6.13	REG1A
si:ch211-125e6.13	REG1B
ccr11.1	CCR5
ccr11.1	CCR8
ccr11.1	CCR2
ccr11.1	CCR4
ccr11.1	CCRL2
ccr11.1	CCR1
ccr11.1	CCR3
mc3r	MC3R
dffb	DFFB
nrp2a	NRP2
rhd	RHD
rhd	RHCE
lsm10	LSM10
ints3	INTS3
atp6v1h	ATP6V1H
slc16a12b	SLC16A12
hbl1	MBL2
sh3kbp1	SH3KBP1
si:ch73-56d11.5	MS4A18
si:ch73-56d11.5	MS4A10
si:ch73-56d11.5	MS4A14
si:ch73-56d11.5	MS4A1
si:ch73-56d11.5	MS4A2
si:ch73-56d11.5	MS4A13
si:ch73-56d11.5	MS4A6E
si:ch73-56d11.5	MS4A6A
si:ch73-56d11.5	MS4A15
si:ch73-56d11.5	MS4A5
si:ch73-56d11.5	MS4A7
kmt2cb	KMT2C
rhbdd2	RHBDD2
slc25a11	SLC25A11
jupa	JUP
arl8	ARL5B
syngap1b	SYNGAP1
atp9b	ATP9B
cntnap3	CNTNAP3B
cntnap3	CNTNAP3
cntnap3	CNTNAP3C
nrip1b	NRIP1
slc17a7b	SLC17A7
bbs10	BBS10
casp8ap2	CASP8AP2
psme2	PSME2
brpf3a	BRPF3
olfm1b	OLFM1
grin2cb	GRIN2C
sh3d21	SH3D21
nectin1b	NECTIN1
mrpl40	MRPL40
usp43a	USP43
plekho1a	PLEKHO1
tmem9b	TMEM9B
tenm2b	TENM2
pros1	PROS1
gnai2b	GNAI2
vipr2	VIPR2
map2k1	MAP2K1
fmnl2a	FMNL2
ehbp1	EHBP1
cox10	COX10
mcoln1a	MCOLN1
pwp1	PWP1
ugt2a7	UGT3A1
ugt2a7	UGT2A3
ugt2a7	UGT2B11
ugt2a7	UGT2B28
ugt2a7	UGT2B10
ugt2a7	UGT1A6
ugt2a7	UGT1A5
ugt2a7	UGT1A4
ugt2a7	UGT1A3
ugt2a7	UGT1A8
ugt2a7	UGT1A10
ugt2a7	UGT1A7
ugt2a7	UGT1A9
ugt2a7	UGT2B7
ugt2a7	UGT2B4
ugt2a7	UGT2A2
ugt2a7	UGT2A1
ugt2a7	UGT2B15
ugt2a7	UGT2B17
meak7	MEAK7
gas6	GAS6
slc7a1a	SLC7A1
mief1	MIEF1
stk17b	STK17B
mrps10	MRPS10
hgd	HGD
grik4	GRIK4
smarca1	SMARCA1
sorbs2b	SORBS2
zgc:172053	REG3G
zgc:172053	REG3A
zgc:172053	REG1A
zgc:172053	REG1B
cmc2	CMC2
ckmt1	CKMT1A
ckmt1	CKMT1B
dennd6b	DENND6B
vwa2	VWA2
gmppb	GMPPB
gcc1	GCC1
gal3st1b	GAL3ST1
tagln3a	TAGLN3
mfap4.8	MFAP4
waslb	WASL
zgc:198329	CEACAM20
tgs1	TGS1
cnga3b	CNGA3
camk2d1	CAMK2D
serpinb1	SERPINB1
l1cama	L1CAM
kat6b	KAT6B
polb	POLB
zgc:123107	HLA-DQA1
zgc:123107	HLA-DQA2
btf3l4	BTF3L4
fam222bb	FAM222B
paxx	PAXX
mmadhca	MMADHC
si:ch73-173p19.2	ATP6V0A4
arxa	ARX
mchr2a	MCHR2
ubap1la	UBAP1L
ift52	IFT52
ninj1	NINJ1
kctd3	KCTD3
cart3	CARTPT
sdha	SDHA
abca3b	ABCA3
setd6	SETD6
ufm1	UFM1
radil	RADIL
kif13ba	KIF13B
zeb1b	ZEB1
si:dkey-108k21.28	H4C15
zgc:110366	AKR1C3
zgc:110366	AKR1C1
zgc:110366	AKR1B10
zgc:110366	AKR1C8
zgc:110366	AKR1B15
zgc:110366	AKR1C4
zgc:110366	AKR7A3
zgc:110366	AKR1C2
slc7a2	SLC7A2
slc7a2	SLC7A13
slc7a2	SLC7A11
krr1	KRR1
slc26a6	SLC26A6
taf6	TAF6
wdhd1	WDHD1
thbs2b	THBS2
acvr1ba	ACVR1B
mfn1b	MFN1
otol1b	OTOL1
h2az2a	H2AZ2
rpp21	RPP21
ddhd2	DDHD2
si:dkey-35i13.1	C11orf87
ep300a	EP300
purba	PURB
tmem123	TMEM123
ctnnd1	CTNND1
pde10a	PDE10A
bambia	BAMBI
olfm1a	OLFM1
dyrk3	DYRK3
kcns3a	KCNS3
rev3l	REV3L
sox10	SOX10
asic2	ASIC2
rxfp2a	RXFP2
lft1	LEFTY2
lft1	LEFTY1
pdhb	PDHB
ephb2a	EPHB2
tceanc2	TCEANC2
atp8b3	ATP8B3
trmt12	TRMT12
ttll1	TTLL1
phc1	SCML1
phc1	THAP10
ifi27.6	IFI27L1
ifi27.6	IFI6
ifi27.6	IFI27
gpa33a	ESAM
dimt1l	DIMT1
nlgn1	NLGN1
mbnl3	MBNL3
p2ry10	P2RY10
trpc6a	TRPC6
oxgr1a.3	OXGR1
entpd6	ENTPD6
gprc5bb	GPRC5B
fgf3	FGF3
slco3a1a	SLCO3A1
evi5b	EVI5
vsnl1b	VSNL1
las1l	LAS1L
fam210ab	FAM210A
tmem63c	TMEM63C
ccne1	CCNE1
rfx5	RFX5
kctd2	KCTD2
gfm2	GFM2
hexd	HEXD
dtymk	DTYMK
apba2b	APBA2
wfdc1	WFDC1
rgs7a	RGS7
nrg1	NRG1
si:ch211-117k10.3	KLF18
si:ch211-117k10.3	KLF14
si:ch211-117k10.3	KLF17
kcnt1a	KCNT1
nck2a	NCK2
bco2a	BCO2
pacsin3	PACSIN3
slc5a1	SLC5A1
orai2	ORAI2
selenot1a	SELENOT
kgd4	KGD4
plin2	PLIN2
lias	LIAS
asah1a	ASAH1
mtmr12	MTMR12
irak1bp1	IRAK1BP1
otud7b	OTUD7B
asap1a	ASAP1
tbc1d24	TBC1D24
lbx1a	LBX2
lbx1a	LBX1
trim71	TRIM71
cpsf6	CPSF6
clcn7	CLCN7
usp9	USP9X
usp9	USP9Y
id4	ID4
sinhcaf	SINHCAF
fuca1.1	FUCA1
sdhaf4	SDHAF4
hoxb13a	HOXB13
TTC9	TTC9
lrpap1	LRPAP1
rbms3	RBMS3
tcf20	TCF20
chd2	CHD2
st6gal2a	ST6GAL2
zgc:85936	ANKLE1
cnot9	CNOT9
alas1	ALAS1
polr1b	POLR1B
parvab	PARVA
lectin	REG3G
lectin	REG3A
lectin	REG1A
lectin	REG1B
rgs8	RGS16
rgs8	RGS8
slc35e3	SLC35E3
zgc:172065	SEPTIN14
il10rb	IFNAR1
smc4	SMC4
sdcbp	SDCBP2
syt6b	SYT6
tas1r2.1	TAS1R2
chaf1a	CHAF1A
ddt	DDT
ddt	DDTL
lyrm9	LYRM9
odad3	ODAD3
acbd3	ACBD3
zgc:152968	AEN
si:dkey-78a14.4	NAT1
si:dkey-78a14.4	NAT2
qdprb.4	QDPR
alox5a	ALOX5
epha4a	EPHA4
mtap	MTAP
tmem51b	TMEM51
cdca4	CDCA4
myh9b	MYH9
pan3	PAN3
fam8a1a	FAM8A1
lysmd4	LYSMD4
eef2a.2	GSPT2
eef2a.2	EIF5B
pdca	PDC
e2f8	E2F8
cyp26a1	CYP26A1
lrrc10	LRRC10
elp2	ELP2
si:ch211-161c3.6	HMGA1
rbm39a	RBM39
snx9a	SNX9
lig1	LIG1
cnsta	CNST
slc22a2	SLC22A2
znf385b	ZNF385B
chmp4c	CHMP4C
slc38a3a	SLC38A3
mhc1lca	ULBP3
mhc1lca	RAET1E
mhc1lca	CD1A
mhc1lca	CD1C
mhc1lca	RAET1L
mhc1lca	CD1D
mhc1lca	CD1E
mhc1lca	ULBP1
mhc1lca	ULBP2
mhc1lca	RAET1G
mhc1lca	CD1B
slc5a5	SLC5A5
dipk1aa	DIPK1A
slc30a5	SLC30A5
lrrc75a	LRRC75A
kif3b	KIF3B
armc8	ARMC8
gpr108	GPR108
tmcc2	TMCC2
morn4	MORN4
cdk7	CDK7
zdhhc13	ZDHHC13
mfap4.11	MFAP4
tbcela	TBCEL
smyd2a	SMYD2
smek1	PPP4R3A
pcnx4	PCNX4
pnpla4	PNPLA4
gnsb	ARSL
gnsb	ARSF
ptprnb	PTPRN
wdfy3	WDFY3
ank3a	ANK3
cntrl	CNTRL
arl14ep	ARL14EP
mfap4.10	MFAP4
rab11a	RAB11A
rbp3	RBP3
cnr1	CNR1
tmt1a.2	TMT1A
dnai4	DNAI4
gdpd5b	GDPD5
malb	MAL
chchd2	CHCHD2
sult1st4	SULT1E1
sult1st4	SULT1A2
sult1st4	SULT1A1
sult1st4	SULT1A3
sult1st4	SULT1A4
sult1st4	SULT2A1
tmem30b	TMEM30B
rad21b	RAD21
ifitm5	IFITM5
si:dkey-84o3.7	HTRA2
acot22	ACOT2
acot22	ACOT6
acot22	ACOT4
acot22	ACOT1
mrps33	MRPS33
abhd8b	ABHD8
cables1	CABLES1
ank3b	ANK3
mbtps2	MBTPS2
gpr137	GPR137
med22	MED22
cenpf	CENPF
vdac2	VDAC2
dnpep	DNPEP
si:ch73-368j24.12	H1-5
abca1a	ABCA1
parp2	PARP2
rnf19b	RNF19B
tspan11	TSPAN11
adipor2	ADIPOR2
ddi2	DDI2
ddi2	DDI1
prkra	PRKRA
her9	HES4
kcnk1b	KCNK1
corin	CORIN
anxa5b	ANXA5
ksr2	KSR2
ryr2b	RYR2
fzd3a	FZD3
haus8	HAUS8
hao1	HAO1
cpsf1	CPSF1
mark3b	MARK3
mlh3	MLH3
arhgap29a	ARHGAP29
gltpd2a	CPTP
gltpd2a	GLTPD2
wdr6	WDR6
med25	MED25
med25	PTOV1
btaf1	BTAF1
mppe1	MPPE1
cdh31	CDH3
elp1	ELP1
ccdc28a	CCDC28A
snap23.2	SNAP23
paxip1	PAXIP1
mcf2l2	MCF2L2
paqr3b	PAQR3
barx2	BARX2
mthfr	MTHFR
gramd1a	GRAMD1A
mrps11	MRPS11
si:ch211-241e1.3	LAMA3
mrpl37	MRPL37
nrros	NRROS
rassf2a	RASSF2
copz2	COPZ2
SERP1	SERP1
sult6b1	SULT6B1
ankrd10b	ANKRD10
ubxn1	UBXN1
noxa1	NOXA1
bora	BORA
ppih	PPIH
rpain	RPAIN
flot1b	FLOT1
sgf29	SGF29
si:dkey-1h4.5	TERB2
plscr3b	PLSCR3
plscr3b	PLSCR4
plscr3b	PLSCR2
hnrnpub	HNRNPU
exosc1	EXOSC1
fut9b.6	FUT5
fut9b.6	FUT6
fut9b.6	FUT3
si:dkeyp-47f9.4	CLIP4
smim29	SMIM29
cd248b	CD93
znf654	ZNF654
galnt2	GALNT2
casp7	CASP7
cd151l	CD151
si:ch211-285c6.4	SEPTIN14
ddx56	DDX56
prrc2a	PRRC2A
prelp	PRELP
psmb8a	PSMB8
acot9.2	ACOT9
szrd1	SZRD1
rgl1	RGL1
desi1b	DESI1
si:zfos-1011f11.2	ILDR2
dcp1b	DCP1B
thoc5	THOC5
cnot6a	CNOT6
ptf1a	PTF1A
epb41l4b	EPB41L4B
ptpra	PTPRA
brinp3a.2	BRINP3
bglap	BGLAP
rap2c	RAP2C
cyp11a1.1	CYP11A1
tmem104	TMEM104
ptenb	PTEN
sfxn5b	SFXN5
rbfox3a	RBFOX3
c1qa	C1QA
capn3b	CAPN3
cyp2u1	CYP2U1
impdh2	IMPDH2
pdia4	PDIA4
zic1	ZIC1
eps8b	EPS8L2
lmna	LMNA
rpl9	RPL9
ccdc137	CCDC137
dbx1a	DBX1
nfatc3a	NFATC3
rbbp5	RBBP5
rassf9	RASSF9
mettl21ca	METTL21C
gfpt2	GFPT2
tcof1	TCOF1
pole4	POLE4
dennd5b	DENND5B
morc2	MORC2
atxn2l	ATXN2L
rergla	RERGL
mcm3	MCM3
rbm8a	RBM8A
aebp1b	AEBP1
si:ch73-281i18.3	MAP7D1
emc10	EMC10
arih2	ARIH2
scamp3	SCAMP3
p3h4	P3H4
fbxl15	FBXL15
soat1	SOAT1
rpl22	RPL22
panx1b	PANX1
wbp2nl	WBP2NL
senp3b	SENP3
b3gnt7l	B3GNT6
F2R	F2R
tead3b	TEAD3
penkb	PENK
atp2b1b	ATP2B1
rapgef4b	RAPGEF4
zbtb17	ZBTB17
patj	PATJ
ctss1	CTSV
ctss1	CTSL
ctss1	TINAG
ctss1	CTSW
ctss1	CTSF
snapc5	SNAPC5
si:ch211-147a11.3	C1orf174
suv39h1a	SUV39H1
hoxd4a	HOXD4
tgm5l	TGM3
tgm5l	TGM5
tgm5l	EPB42
tgm5l	TGM6
tgm5l	TGM7
spcs3	SPCS3
gsdmea	GSDME
arpc4l	ARPC4
mtmr9	MTMR9
chmp7	CHMP7
abcc5	ABCC5
trappc3	TRAPPC3
galnt16	GALNT16
ifi44c2	IFI44L
ifi44c2	IFI44
smarcb1b	SMARCB1
hacl1	HACL1
abcc13	ABCC6
si:dkey-65b13.11	ROCK2
wdr31	WDR31
exd3	EXD3
pabpn1	PABPN1
txnipb	TXNIP
clasrp	CLASRP
slc18b1	SLC18B1
il1rapl1a	IL1RAPL1
mgat3a	MGAT3
csad	CSAD
cfap52	CFAP52
dhrs13a.3	DHRS13
mhc1laa	ULBP3
mhc1laa	RAET1E
mhc1laa	CD1A
mhc1laa	CD1C
mhc1laa	RAET1L
mhc1laa	CD1D
mhc1laa	CD1E
mhc1laa	ULBP1
mhc1laa	ULBP2
mhc1laa	RAET1G
mhc1laa	CD1B
epn1a	EPN1
gabbr2	GABBR2
aldh1l2	ALDH1L2
bcat2	BCAT2
mllt3	MLLT3
gfm1	GFM1
tmem120b	TMEM120B
tlx3b	TLX3
sh3gl1b	SH3GL1
nr2f2	NR2F2
si:ch1073-224n8.1	ZNF22
si:ch1073-224n8.1	ZFP41
coq8b	COQ8B
edil3a	EDIL3
nudcd3	NUDCD3
plvapb	PLVAP
tp63	TP63
ncbp2as2	NCBP2AS2
nfyal	NFYA
mpst	TST
ifi35	IFI35
bbs7	BBS7
mrps24	MRPS24
cdh29	CDH3
ddx20	DDX20
znhit1	ZNHIT1
vgll2a	VGLL2
caln1	CALN1
tp73	TP73
hfm1	HFM1
prrx1b	PRRX1
spic	SPIC
si:ch211-59o9.10	RNF44
p2ry12	P2RY12
rpl21	RPL21
scnm1	SCNM1
snapc3	SNAPC3
npm1a	NPM1
afap1l2	AFAP1L2
wdr17	WDR17
epyc	EPYC
si:ch73-334d15.4	KCNC2
cnksr2a	CNKSR2
igfbp3	IGFBP3
ube2b	UBE2B
stmn2b	STMN2
slc35f1	SLC35F1
zic2a	ZIC2
mfsd14a1	MFSD14A
kalrnb	KALRN
zzef1	ZZEF1
taf2	TAF2
col10a1a	COL10A1
dnaaf9	DNAAF9
atp1b1b	ATP1B1
gltpd2b	CPTP
gltpd2b	GLTPD2
dynlt2b	DYNLT2B
prps1a	PRPS1L1
prps1a	PRPS1
dbr1	DBR1
hps1	HPS1
st3gal7	C20orf173
ccdc167	CCDC167
rabgef1	RABGEF1
chrna3	CHRNA3
si:ch211-286b5.8	CD22
myd88	MYD88
asnsd1	ASNSD1
lamb1a	LAMB1
rpp25l	RPP25L
tomm6	TOMM6
bin3	BIN3
aqp8b	AQP5
aqp8b	AQP10
aqp8b	AQP6
furinb	FURIN
cfd	CFD
zgc:110626	ARRDC5
ppp1r14aa	PPP1R14A
ganaba	GANAB
slc13a4	SLC13A4
cd68	CD68
med11	MED11
dync1i1b	DYNC1I1
slc25a25b	SLC25A25
sptssb	SPTSSB
SSBP4	SSBP4
mvda	MVD
f7	F7
hivep3a	HIVEP3
st3gal8	C20orf173
ephx4	EPHX4
rnf145b	RNF145
erbin	ERBIN
nr2c2ap	NR2C2AP
adam11	ADAM11
zbtb41	ZBTB41
lyrm1	LYRM1
neu1	NEU1
layna	LAYN
kctd6a	KCTD6
ubl3a	UBL3
itpr1b	ITPR1
camkmt	CAMKMT
cyp4v2a	CYP4V2
entpd5a	ENTPD5
adra1ba	ADRA1B
chst2b	CHST2
dpp7	DPP7
ppm1nb	PPM1M
ppm1nb	PPM1J
ppm1nb	PPM1N
mapk4	MAPK4
gja3	GJA3
pbrm1	PBRM1
mfsd4b	MFSD4B
hrob	HROB
pcf11	PCF11
ACBD3	ACBD3
fam161b	FAM161B
mrs2	MRS2
pex11a	PEX11A
mgst1.2	MGST1
ect2	ECT2
fut9b.5	FUT5
fut9b.5	FUT6
fut9b.5	FUT3
meiosin	MEIOSIN
mtus1a	MTUS1
cacna1c	CACNA1C
wrn	WRN
sfrp1b	SFRP1
ovca2	OVCA2
ipo8	IPO8
tmem151bb	TMEM151B
harbi1	HARBI1
pskh1	PSKH1
vipr1b	VIPR1
mrpl9	MRPL9
ark2ca	ARK2C
slc34a1b	SLC34A1
fam120c	FAM120C
nln	NLN
ndufa10	NDUFA10
malt1	MALT1
sv2a	SV2A
dnase1	DNASE1L2
dnase1	DNASE1
prickle3	PRICKLE3
esd	ESD
tent5bb	TENT5B
ide	IDE
CACNA2D4	CACNA2D4
prph2a	PRPH2
tnnc2.2	TNNC2
asic1a	ASIC1
nebl	LASP1
pkp2	PKP2
wtap	WTAP
map3k14a	MAP3K14
skor1b	SKOR1
sptbn1	SPTBN1
gpatch8	GPATCH8
rpl36	RPL36
eef1e1	EEF1E1
si:dkey-246g23.4	SLC16A11
lifrb	IL12RB1
lifrb	CRLF2
lifrb	IL2RG
lifrb	OSMR
lifrb	IL27RA
lifrb	IL3RA
lifrb	IL6R
lifrb	IL23R
pdgfab	PDGFA
hdac10	HDAC10
nipal4	NIPAL4
rxrgb	RXRG
wnt7bb	WNT7B
stat5b	STAT5B
stat5b	STAT5A
si:dkey-7j14.6	MS4A18
si:dkey-7j14.6	MS4A10
si:dkey-7j14.6	MS4A14
si:dkey-7j14.6	MS4A1
si:dkey-7j14.6	MS4A2
si:dkey-7j14.6	MS4A13
si:dkey-7j14.6	MS4A6E
si:dkey-7j14.6	MS4A6A
si:dkey-7j14.6	MS4A15
si:dkey-7j14.6	MS4A5
si:dkey-7j14.6	MS4A7
ankrd13a	ANKRD13A
stk35	STK35
cyfip1	CYFIP1
macroh2a2	MACROH2A2
cdk18	CDK18
rgs13a	RGS13
fgfr1a	FGFR1
fzd8a	FZD8
ramp1	RAMP1
znf330	ZNF330
gpx9	GPX1
ankfn1a	ANKFN1
