mt-nd1	mt-Nd1
rpl18a	Rpl18a
smc4	Smc4
tmem275b	Tmem275
mitfa	Mitf
sh3bgrl2	Sh3bgrl2
CERS5	Cers5
lca5	Lca5
il10	Il10
kcnj14	Kcnj14
pde6b	Pde6b
gpr85	Gpr85
pthlha	Pthlh
ikbkb	Ikbkb
il19l	Il20
il19l	Il19
mak	Mak
zgc:113054	Dhrs2
prelp	Prelp
khdc4	Khdc4
slc6a14	Slc6a14
zfyve9b	Zfyve9
psma8	Psma8
vps13d	Vps13d
lrrn2	Lrrn2
ABHD17A	Abhd17a
ppan	Ppan
pklr	Pklr
elmo2	Elmo2
pinx1	Pinx1
c3-2	C3
gdf5	Gdf5
dusp16	Dusp16
pikfyve	Pikfyve
P2RY13	P2ry13
ptpro	Ptpro
sox10	Sox10
MBNL1	Mbnl1
scdb	Scd2
scdb	Scd4
slc2a11l	Slc2a7
kdm2aa	Kdm2a
mir133b	Mir133b
baalcb	Baalc
dnajb12a	Dnajb12
hspd1	Hspd1
vps4b	Vps4b
nab2	Nab2
kyat3.1	Kyat3
ipo4	Ipo4
nanog	Nanog
hpf1	Hpf1
zmat2	Zmat2
tasorb	Tasor
hand2	Hand2
kcnn2	Kcnn2
hnrnpl2	Hnrnpl
kiaa0586	2700049A03Rik
elavl3	Elavl3
arb2a	Arb2a
asb14b	Asb14
ccne1	Ccne1
lgals3b	Lgals12
lgals3b	Lgals1
lgals3b	Lgals7
fbxo34	Fbxo34
nhp2	Nhp2
wfs1a	Wfs1
mfsd6a	Mfsd6
znf536	Zfp536
GPR149	Gpr149
fam136a	Fam136a
lsm8	Lsm8
stx16	Stx16
Gb-alpha1	Hbb-bh1
crabp2a	Crabp2
ppifa	Ppia
myl7	Myl7
smpx	Smpx
ola-mir-124-1	Mir124a-3
tmem45a	Tmem45a
tmem45a	Tmem45a2
per2	Per2
cnstb	Cnst
zfhx2	Zfhx2
kif26bb	Kif26b
spg7	Spg7
thpo	Thpo
tomm70a	Tomm70a
gucy2ca	Gucy2c
mat2aa	Mat2a
fdps	Fdps
tyro3	Tyro3
polr3h	Polr3h
dpp6a	Dpp6
tm7sf3	Tm7sf3
rhbdf1a	Rhbdf1
PTPRB	Ptprb
cdkn1bb	Cdkn1b
mmp15b	Mmp15
rargb	Rarg
dscama	Dscam
ggh	Ggh
atp6v0a2a	Atp6v0a2
KCNMB4	Kcnmb4
mbd5	Mbd5
yars2	Yars2
adar	Adar
sec23a	Sec23a
nacc1b	Nacc1
gdpd5a	Gdpd5
pparab	Ppara
BMAL2	Bmal2
gltpd2b	Cptp
gltpd2b	Gltpd2
asmt	Asmt
cbfa2t3	Cbfa2t3
znf512b	Zfp512b
tbc1d10a	Tbc1d10a
kcnma1a	Kcnma1
Y_RNA	Gm56246
Y_RNA	Gm24379
dnaja2b	Dnaja2
arhgef10	Arhgef10
Y_RNA	Gm56246
Y_RNA	Gm24379
tcirg1b	Tcirg1
pptc7b	Pptc7
trappc2l	Trappc2l
dync1li2	Dync1li2
fbxo16	Fbxo16
pcsk2	Pcsk2
nipa2	Nipa2
mycla	Mycl
tmem243b	Tmem243
hs3st2	Hs3st2
hs3st4	Hs3st4
zhx3b	Zhx3
sf3b6	Sf3b6
drosha	Drosha
scamp3	Scamp3
adamts18	Adamts18
npdc1b	Npdc1
rnf19a	Rnf19a
rnf19a	Gm65991
brf2	Brf2
atp7b	Atp7b
clip3	Clip3
spock1	Spock1
epha6	Epha6
zbtb8os	Zbtb8os
pierce1	Pierce1
ifitm5	Ifitm5
kbtbd2	Kbtbd2
agxtb	Agxt
mccc2	Mccc2
arl6	Arl6
tmem39b	Tmem39b
timm50	Timm50
grhl2a	Grhl2
zfand2a	Zfand2b
ADGRA1	Adgra1
c16h1orf43	4933434E20Rik
hcfc2	Klhdc9
PLCB2	Plcb2
rdh12	Rdh11
tmem167a	Tmem167
snai1b	Snai1
apodb	Apod
adam15	Adam15
cacybp	Cacybp
ptena	Pten
rbfox2	Rbfox2
zcchc9	Zcchc9
cbr1	Cbr1b
cbr1	Cbr1
trim33l	Trim28
cep170ba	Cep170b
sox1b	Sox1
anxa13	Anxa8
anxa13	Anxa9
aacs	Aacs
myt1b	Myt1
grin2bb	Grin2b
fbrs	Fbrs
ppdpfb	Ppdpf
slco3a1b	Slco3a1
cyp20a1	Cyp20a1
VASN	Vasn
adss1	Adss1
vwf	Vwf
zgc:165507	Slc16a7
sept3	Septin3
thbs3a	Thbs3
piezo1	Piezo1
asnsd1	Asnsd1
dnajc5ab	Dnajc5
rorc	Rorc
rorc	Nr1h5
rorc	Nr1i3
casp3l	Casp12
casp3l	Casp1
mapk12b	Mapk12
nbn	Nbn
RIMS2	Rims2
si:ch211-18i17.2	Plekhh3
polr2d	Polr2d
yme1l1a	Yme1l1
hpse	Hpse
herpud2	Herpud2
arhgap11a	Arhgap11a
ERC2	Erc2
acp7	Acp7
sgsm1b	Sgsm1
pou4f1	Pou4f1
snx22	Snx22
grin2da	Grin2d
LLGL1	Llgl1
si:dkey-192l18.9	Fbxl7
JMY	Jmy
mep1a.2	Mep1a
shisa7b	Shisa7
amotl2a	Amotl2
thbs1	Thbs1
gja1a	Gja1
gja1a	Gja6
rassf3	Rassf3
dnase1l1	Dnase1l1
bgnb	Bgn
cmya5	Cmya5
ercc3	Ercc3
cacna1da	Cacna1d
myo5b	Myo5b
syngr3a	Syngr3
epn1b	Epn1
dcx	Dclk2
dpm1	Dpm1
wsb2	Wsb2
MTERF1	Mterf1b
MTERF1	Mterf1a
stt3a	Stt3a
nvl	Nvl
slc39a7	Slc39a7
tent5aa	Tent5a
POLR2E	Polr2e
mfsd2ab	Mfsd2a
DOCK2	Dock2
rfx3	Rfx3
bcl2l1	Bcl2l1
frmd7	Frmd7
myclb	Mycl
hrh2a	Hrh2
taf13	Taf13
eif4h	Eif4h
slc14a2	Slc14a2
slc14a2	Slc14a1
mios	Mios
uba1	Uba7
kcnip1	Kcnip1
recql4	Recql4
trhra	Trhr
mespab	Mesp1
mespab	Mesp2
baz2ba	Baz2b
arvcfa	Arvcf
TMEM74	Tmem74
opn1lw1	Opn1mw
sox5	Sox5
jakmip1	Jakmip1
ptpreb	Ptpre
MPZL3	Mpzl3
DNAJC7	Dnajc7
insyn2ab	Insyn2a
zc3h13	Zc3h13
rpl31	Rpl31
RNF169	Rnf169
c15h10orf90	D7Ertd443e
rhot1b	Rhot1
ticrr	Ticrr
wfs1b	Wfs1
fsd1	Fsd1
si:ch1073-281m9.1	Gm13889
MLANA	Mlana
cdkn3	Cdkn3
dhx32b	Dhx32
slc28a1	Slc28a1
slc28a1	Slc28a2
slc28a1	Slc28a2b
usp7	Usp7
ssbp1	Ssbp1
vsx2	Vsx2
gja4	Gja4
pnoca	Pnoc
hsd17b7	Hsd17b7
pef1	Pef1
pask	Pask
aldh7a1	Aldh7a1
dnajc7	Dnajc7
RARB	Rarb
si:dkey-251i10.1	Slc25a5
nf2a	Nf2
nin	Nin
rtn4rl2b	Rtn4rl2
cyp2p3	Cyp2j5
cyp2p3	Cyp2j12
cyp2p3	Cyp2j6
cyp2p3	Cyp2j8
cyp2p3	Cyp2j11
cyp2p3	Cyp2j7
top3b	Top3b
mrpl47	Mrpl47
sdf2l1	Sdf2l1
DGKQ	Dgkq
dhfr	Dhfr
abl1	Abl1
cyp2n13	Cyp2j5
cyp2n13	Cyp2j12
cyp2n13	Cyp2j6
cyp2n13	Cyp2j8
cyp2n13	Cyp2j11
cyp2n13	Cyp2j7
nsun2	Nsun2
fcf1	Fcf1
camk2n1a	Camk2n2
ccdc69	Ccdc69
naif1	Naif1
ccdc181	Ccdc181
bola1	Bola1
NEUROD2	Neurod2
apobec2b	Apobec2
prox2	Prox2
lrsam1	Lrsam1
exd2	Exd2
dyrk1ab	Dyrk1a
ebp	Ebp
tbc1d10c	Tbc1d10c
ola-mir-221	Mir221
IER5L	Ier5l
rbp2a	Rbp2
mmachc	Mmachc
camsap2b	Camsap2
prpf39	Prpf39
itgb3a	Itgb3
zpld1b	Zpld1
csad	Csad
cplx2b	Cplx2
enox1	Enox1
galr1a	Galr1
id1	Id1
ncoa3	Ncoa3
fundc1	Fundc1
THSD4	Thsd4
CHRNA6	Chrna6
hoxc4a	Hoxc4
pik3cb	Pik3cb
PTGR3	Ptgr3
hoxc6a	Hoxc6
picalmb	Picalm
slc26a6l	Slc26a6
zhx2a	Zhx2
hoxc12a	Hoxc12
fam120c	Fam120c
phospho1	Phospho1
rarga	Rarg
ddr2l	Ddr2
cox6b2	Cox6b2
snx16	Snx16
rereb	Rere
entr1	Entr1
bend3	Bend3
lman2	Lman2
arid1ab	Arid1a
pdss2	Pdss2
spryd3	Spryd3
chek2	Chek2
znf576.1	Zfp160
znf576.1	Zfp553
znf576.1	Zfp764l1
znf576.1	Zfp764
znf576.1	Zfp688
znf576.1	Zfp92
znf576.1	Zfp689
UBL5	Ubl5c
UBL5	Ubl5b
UBL5	Ubl5
rgs7a	Rgs7
sobpa	Sobp
ppil1	Ppil1
idi1	Idi1
idi1	Idi2
idi1	Idi2l
gabrr3a	Gabrr3
hspa8b	Hspa8
grapa	Grap
ptges3l	Ptges3l
cpne9	Cpne9
klf13	Klf16
klf13	Zfp352
klf13	Klf14
klf13	Klf17
frs3	Frs3
ZDHHC18	Zdhhc18
vps26b	Vps26b
PTPN14	Ptpn14
vps54	Vps54
malt1	Malt1
jam3a	Jam3
ctdsp2	Ctdsp2
tbc1d2b	Tbc1d2b
cwc25	Cwc25
IGFBP4	Igfbp4
borcs5	Borcs5
zgc:110045	Pcbp3
vezf1	Vezf1
arl10	Arl10
mrpl43	Mrpl43
tmub1	Tmub1
acvrl1	Acvrl1
heyl	Hes5
heyl	Heyl
wnt7aa	Wnt7a
fbp2	Fbp2
arhgap27	Arhgap27
eif3s10	Eif3a
PRSS23	Prss23
smc1b	Smc1b
steap4	Steap4
actn2b	Actn2
afg1la	Afg1l
mical1	Mical1
msh4	Msh4
slc26a10	Slc26a10
slc4a2a	Slc4a2
ppcdc	Ppcdc
kcng1	Kcng1
MFAP3	Mfap3
cfbl	Cfb
slkb	Slk
si:ch211-189e2.2	Ankrd66
fam83gb	Fam83g
dynlrb1	Dynlrb1
taok1a	Taok1
fdx1	Fdx1
ulk2	Ulk2
GALNT10	Galnt10
fam117a	Fam117a
nxf1a	Nxf7
nxf1a	Nxf2
nxf1a	Nxf1
nxf1a	Nxf3
sema3c	Sema3c
fabp4b	Fabp5
fabp4b	Pmp2
fabp4b	Fabp12
fabp4b	Fabp9
si:dkeyp-9d4.3	Caskin1
tanc2b	Tanc2
wdr81	Wdr81
epm2a	Epm2a
FAM135B	Fam135b
nat8	Nat8f3
nat8	Nat8
nat8	Nat8f1
nat8	Nat8f6
nat8	Nat8f4
nat8	Nat8f2
nat8	Nat8f5
nat8	Nat8f7
ccdc126	Ccdc126
myct1b	Myct1
ddx42	Ddx42
slc39a8	Slc39a8
foxn4	Foxn4
tmem130	Tmem130
trpc6a	Trpc6
prima1	Prima1
evi5b	Evi5
arhgap24	Arhgap24
nptnb	Nptn
nradd	Nradd
nradd	Ltbr
nradd	Tnfrsf18
nradd	Cd27
nradd	Tnfrsf14
nradd	Tnfrsf10b
ghrb	Il12rb1
ghrb	Il11ra3
ghrb	Il11ra2
ghrb	Il11ra1
ghrb	Ghr
ghrb	Crlf2
ghrb	Il2rg
ghrb	Osmr
ghrb	Il27ra
ghrb	Il6ra
ghrb	Il23r
ghrb	Il13ra1
herc7	Rccd1
kmt2e	Kmt2e
map2k1	Map2k1
kctd10	Kctd10
ago2	Ago2
KIF5B	Kif5b
tec	Tec
myo1ha	Myo1h
gadd45gb.1	Gadd45g
pitpnm3	Pitpnm3
zwilch	Zwilch
setmar	Setmar
guca1aa	1700109H08Rik
pcnx2	Pcnx2
si:ch211-107m4.1	Hnrnpul2
cavin4a	Cavin4
plk4	Plk4
klhl21	Klhl21
gtf2ird1	Gtf2ird1
brip1	Brip1
abcg2a	Abcg2
nid2a	Nid2
pkd2l1	Pkd2l1
zgc:112255	AU022252
golgb1	Golgb1
si:dkey-243i1.1	4933427D14Rik
dtx2	Dtx2
slc2a8	Slc2a8
sike1	Sike1
txndc17	Txndc17
tmem132e	Tmem132e
p3h1	P3h1
zrsr2	Gm73394
chmp3	Chmp3
mbnl3	Mbnl3
mymk	Mymk
rufy3	Rufy3
cldn19	Cldn19
dpy19l1l	Dpy19l1
TM6SF1	Tm6sf1
rtraf	Rtraf
RPS6KB2	Rps6kb2
olfml3a	Olfml3
ccdc47	Ccdc47
MTARC2	Mtarc2
frzb	Frzb
cinp	Cinp
zeb1b	Zeb1
ypel1	Ypel2
phf8	Phf8
fam83ha	Fam83h
FSD2	Fsd2
atl3	Atl3
ppil2	Ppil2
inka1a	Inka1
hprt1	Hprt1
cep72	Cep72
phf6	Phf6
tekt3	Tekt3
sgce	Sgce
zdhhc11	Zdhhc11
GZMM	Gzmm
gpr6	Gpr6
poglut1	Poglut1
eif3s6ip	Eif3l
capn3a	Capn3
prr14	Prr14
pde8a	Pde8a
scamp5b	Scamp5
sox13	Sox13
snrpe	Snrpe
emsy	Emsy
polrmt	Polrmt
jarid2b	Jarid2
ilvbl	Ilvbl
mapk6	Mapk6
nedd4l	Nedd4l
tex11	Tex11
kcnj1b	Kcnj1
capn1	Capn1
apoba	Apob
dtnbp1b	Dtnbp1
svbp	Svbp
tdrd9	Tdrd9
leo1	Leo1
fam20cb	Fam20c
CXXC5	Cxxc5
mapk13	Mapk13
noctb	Noct
mcl1b	Mcl1
dldh	Dld
rusc2	Rusc2
prpf38a	Prpf38a
fam78bb	Fam78b
onecut1	Onecut1
cep170aa	Cep170
rtn1b	Rtn1
nrg2b	Nrg2
tbrg1	Tbrg1
HINT1	Hint1
tom1l2	Tom1l2
atxn1a	Atxn1
tnfaip8l3	Tnfaip8l3
LRRC9	Lrrc9
coro1a	Coro1a
ighmbp2	Ighmbp2
mmp20a	Mmp7
rsf1b.1	Rsf1
nadk2	Nadk2
tsku	Tsku
herpud1	Herpud1
npl	Npl
grm2a	Grm2
aup1	Aup1
exosc9	Exosc9
cracr2b	Cracr2b
msrb1b	Msrb1
heatr6	Heatr6
atp13a2	Atp13a2
pals2a	Pals2
smad7	Smad7
gngt1	Gng11
gngt1	Gngt1
pgp	Pgp
nhsl1b	Nhsl1
MMP23B	Mmp23
capn5b	Capn5
fhdc1	Fhdc1
snrnp48	Snrnp48
sspo	Sspo
guf1	Guf1
ola-mir-200a	Mir200a
atp6v1e1b	Atp6v1e1
atp6v1e1b	Atp6v1e2
ubr7	Ubr7
ssh1a	Ssh1
smfn	Rexo2
lhx8b	Lhx8
grid2ipb	Grid2ip
pnpla2	Pnpla2
rpn2	Rpn2
ppp4r4	Ppp4r4
ablim1a	Ablim1
nit1	Nit1
zgc:123258	Sppl2a
slc24a5	Slc24a5
CTXN2	Ctxn2
pip4p2	Pip4p2
efr3bb	Efr3b
plekhm2	Plekhm2
bcan	Bcan
eml1	Eml1
RAD23B	Rad23b
sema4bb	Sema4b
rnd1b	Rnd1
galnt11	Galntl5
intu	Intu
tmed3	Tmed3
rhbdf1b	Rhbdf1
b3gnt7l	B3gnt6
atp5f1b	Atp5f1b
rnf157	Rnf157
mafaa	Mafa
dars1	Dars1
trim2b	Trim2
commd5	Commd5
chn2	Chn2
fth1b	Fthl17f
fth1b	Fthl17a
fth1b	Fthl17d
fth1b	Fthl17b
fth1b	Fthl17c
fth1b	Fthl17e
fth1b	Fth1
tpra	Tpr
tm9sf5	Tm9sf5
vps28	Vps28
gpr101	Gpr101
slc30a4	Slc30a4
adcyap1r1b	Adcyap1r1
topbp1	Topbp1
hps5	Hps5
zic6	Zxdb
zic6	Zxdc
snx29	Snx29
emc10	Emc10
rbm24a	Rbm24
gtf2h1	Gtf2h1
U8	Gm23182
rsl1d1	Rsl1d1
ugt1a1	Ugt1a1
ap1b1	Ap1b1
orai2	Orai2
pecam1b	Pecam1
eps8l3a	Eps8l3
atp10d	Atp10d
fndc1	Fndc1
npy2rl	Npy2r
egln3	Egln3
kcnh7	Kcnh7
ntpcr	Ntpcr
inhbaa	Inhba
ppp4r2b	Ppp4r2
ADARB2	Adarb2
wdr73	Wdr73
cdk6	Cdk6
adnp2b	Adnp2
camk2g2	Camk2g
tnrc6ba	Tnrc6b
rnaseh1	Rnaseh1
smarcd3b	Smarcd3
coq10a	Coq10a
entpd2b	Entpd2
si:ch73-127m5.1	Nuggc
si:ch73-127m5.1	Cd5l
zmynd11	Zmynd11
si:dkeyp-72e1.6	A930007A09Rik
nat8l	Nat8l
barhl1a	Barhl1
tram2	Tram2
gal	Gal
arrdc1b	Arrdc1
gspt1l	Gspt1
med20	Med20
ccdc15	Ccdc15
esrp2	Esrp2
ano5a	Ano5
poln	Poln
cpe	Cpe
tmem196	Tmem196
klhl2	Klhl2
anapc1	Anapc1
tmem11	Tmem11
nemp1	Nemp1
aoc2	Aoc2
aoc2	Aoc3
natd1	Natd1
TLE3	Tle3
trmt13	Trmt13
fance	Fance
ldb3b	Ldb3
vps26c	Vps26c
dre-mir-107	Mir103-2
dre-mir-107	Mir103-1
UBQLN4	Ubqln4
glceb	Glce
six3b	Six3
rapgef5a	Rapgef5
st3gal4	St3gal4
arhgap22b	Arhgap22
anp32a	Anp32a
zdhhc7	Zdhhc7
elapor1	Elapor1
cog1	Cog1
rabgef1	Rabgef1
xpnpep2	Xpnpep2
st3gal4	St3gal4
plekha6	Plekha6
TINAGL1	Tinagl1
dhdds	Dhdds
terfa	Terf2
ola-mir-181a-1	Mir181a-1
cfap300	Cfap300
cyth4a	Cyth4
ero1b	Ero1b
SZT2	Szt2
fli1	Fli1
ets1	Ets1
pgrmc1	Pgrmc1
antxr1c	Antxrl
antxr1c	Gm30083
lamp2	Lamp2
sox17	Sox17
KLF6	Klf6
crb2b	Crb2
AIF1	Aif1
rbm34	Rbm34
sypl2a	Sypl2
rcn3	Rcn3
phlda2	Phlda2
KLF7	Klf7
scamp2l	Scamp2
npr2	Npr1
tcp11l2	Tcp11l2
stim1b	Stim1
tnmd	Tnmd
tonsl	Tonsl
pcf11	Pcf11
palmda	Palmd
mfsd11	Mfsd11
clip1a	Clip1
SNIP1	Snip1
emilin2b	Emilin2
scyl2	Scyl2
ttc32	Ttc32
hnrpkl	Hnrnpk
slc6a17	Slc6a17
thrap3a	Thrap3
kcns3b	Kcns3
stk11ip	Stk11ip
MIR455	Mir455
prrt4b	Prrt4
PPP2R5C	Ppp2r5c
mettl3	Mettl3
ahctf1	Ahctf1
BET1L	Bet1l
tasp1	Tasp1
unc5db	Unc5d
capn3b	Capn3
cacna1aa	Cacna1a
cyb561a3a	Cyb561a3
grik3	Grik3
fnbp4	Fnbp4
sox2	Sox2
cep152	Cep152
fhip1aa	Fhip1a
kdm6a	Uty
kdm6a	Kdm6a
rfxap	Rfxap
bscl2	Bscl2
nudt13	Nudt13
pip5k1ba	Pip5k1b
ncoa4	Ncoa4
MANEAL	Maneal
gstm.2	Gstm5
nek2	Nek2
xpnpep1	Xpnpep1
washc4	Washc4
PSMA4	Psma4
eps8l3b	Eps8l3
psenen	Psenen
prmt1	Prmt1
sqor	Sqor
slc25a44b	Slc25a44
hspb6	Hspb6
LYRM2	Lyrm2
cacna2d1a	Cacna2d1
urod	Urod
samd10a	Samd10
xiap	Naip6
xiap	Naip5
xiap	Naip1
xiap	Naip2
xiap	Xiap
dlk2	Dlk2
polg2	Polg2
acvr2bb	Acvr2b
tcima	Tcim
mea1	Mea1
ctdspl2a	Ctdspl2
man2b2	Man2b2
rpa2	Rpa2
adam28	Adam28
hdlbpa	Gm382
hdlbpa	Hdlbp
ccdc28a	Ccdc28a
dre-mir-124-4	Mir124a-3
snx5	Snx5
scmh1	Scmh1
esyt2b	Esyt2
dennd1a	Dennd1a
chrm5b	Chrm5
lrrc31	Lrrc31
SLC4A11	Slc4a11
chico	Tle5
selenof	Selenof
vamp8	Vamp8
rpp25a	Rpp25
zranb1a	Zranb1
lipf	Lipa
agxta	Agxt
APOO	Apoo
osbpl11	Osbpl11
uri1	Uri1
si:dkey-156n14.3	Zxdb
si:dkey-156n14.3	Zxdc
lmbr1	Lmbr1
elovl6l	Elovl3
pou4f2	Pou4f2
ptx3a	Ptx3
rnf32	Rnf32
sypb	Syp
cdh24	Cdh24
tacc2	Tacc2
insb	Ins1
insb	Ins2
parp12a	Parp12
uspl1	Uspl1
acadsb	Acadsb
pygb	Pygb
lmo2	Lmo2
znf292b	Zfp292
gins1	Gins1
tbc1d31	Tbc1d31
odf3l2a	Cimap1d
ift88	Ift88
tmem151ba	Tmem151b
clu	Clu
snapin	Snapin
abracl	Abracl
rps14	Rps14
chtopa	Chtop
copz2	Copz2
tpm4b	Tpm4
asph	Asph
zgc:110158	Ssbp4
naa35	Naa35
tmem200c	Tmem200c
atad5a	Atad5
fgd4a	Fgd4
slc23a1	Slc23a1
MIR183	Mir183
chst2b	Chst2
upb1	Upb1
zbtb26	Zbtb26
atat1	Atat1
prrc1	Prrc1
DCUN1D2	Dcun1d2
herc3	Herc3
best2	Best2
unk	Unk
si:ch211-127i16.2	4930438A08Rik
si:ch211-127i16.2	Il4i1
si:ch211-127i16.2	Maob
pak2b	Pak2
col4a1	Col4a1
ccr6b	Ccr6
umodl1	Umodl1
si:ch73-206p6.1	Plscr5
si:ch73-206p6.1	Plscr3
si:ch73-206p6.1	Plscr4
ttll11	Ttll11
rhot1a	Rhot1
clk2a	Clk2
slc35a1	Slc35a1
rtn4ip1	Rtn4ip1
zgc:153240	5730455P16Rik
actr2a	Actr2
man1a1	Man1a
hint3	Hint3
lhcgr	Lhcgr
si:ch211-223m11.1	Dlgap2
thsd7aa	Thsd7a
cldn8.3	Cldn8
fut9c	Fut9
klhl40a	Klhl40
mos	Mos
slc35g2b	Slc35g2
ppp1cb	Ppp1cb
hk2	Hk2
fnbp1b	Fnbp1
pla2g1b	Pla2g1b
ACTA1	Acta1
vclb	Vcl
si:ch211-255i20.3	Tmed11
rev1	Rev1
ogna	Ogn
elmo3	Elmo3
mif4gda	Mif4gd
klhl3	Klhl3
CLEC3B	Clec3b
mrpl45	Mrpl45
kif11	Kif11
tmem120ab	Tmem120a
abcg2d	Abcg2
fcho2	Fcho2
psme4a	Psme4
slc22a15	Slc22a19
slc22a15	Slc22a27
slc22a15	Slc22a29
slc22a15	Slc22a30
slc22a15	Slc22a28
slc22a15	Slc22a26
immt	Immt
p2rx5	P2rx5
arv1	Arv1
ppp1r3da	Ppp1r3d
fam89a	Fam89a
kcnk10b	Kcnk10
fam124b	Fam124b
elp4	Elp4
gucy1b1	Gucy1b1
n4bp3	N4bp3
pigl	Pigl
si:busm1-57f23.1	Cst12
si:busm1-57f23.1	Cstdc1
si:busm1-57f23.1	Cst8
si:busm1-57f23.1	Cstl1
si:busm1-57f23.1	Cst13
si:busm1-57f23.1	Cst9
si:busm1-57f23.1	Cstdc2
si:busm1-57f23.1	Cst11
ndufb3	Ndufb3
bdkrb1	Bdkrb1
txnrd2.1	Txnrd2
me2	Me2
tmem104	Tmem104
pafah1b1b	Pafah1b1
trim13	Trim13
cntfr	Cntfr
tfap2e	Tfap2e
mppe1	Mppe1
ola-mir-139	Mir139
rps5	Rps5
zswim7	Zswim7
FAM181B	Fam181b
myoz2b	Myoz2
cluhb	Cluh
ddah2	Ddah2
galt	Galt
nav2a	Nav2
zbtb49	Zbtb49
PNMT	Pnmt
fbxo40.1	Fbxo40
ches1	Foxn3
slc22a7b.3	Slc22a7
thoc7	Thoc7
stard10	Stard10
e2f8	E2f8
tango2	Tango2
DIO3	Dio3
mir1306	Mir1306
5S_rRNA	Gm54731
5S_rRNA	Gm55688
5S_rRNA	Gm56439
5S_rRNA	Gm54575
ing2	Ing2
rab3c	Rab3c
csnk2b	Csnk2b
tfg	Tfg
kcnk1b	Kcnk1
CLPB	Clpb
mfsd8	Mfsd8
atp6ap2	Atp6ap2
elovl7a	Elovl7
katnip	Katnip
noxo1a	Noxo1
jdp2b	Jdp2
kbtbd13a	Kbtbd13
mospd2	Mospd2
alg6	Alg6
ralgapa1	Ralgapa1
cln5	Cln5
si:dkey-38l22.2	1110002E22Rik
tyr	Tyr
tbl3	Tbl3
ift70	Ift70b
ift70	Ift70a2
ift70	Ift70a1
fbrsl1	Fbrsl1
acod1	Acod1
kctd12.1	Kctd12
PHTF2	Phtf2
mxd3	Mxd3
prelid1a	Prelid1
