marchf1	36951
adad1	ADAD1
adad2	ADAD1
mapda	ADAL
adam10a	ADAM10
LOC107388626	ADAM10
adam11	ADAM11
LOC107395130	ADAM11
adam12b	ADAM12
LOC107387781	ADAM12
adam15	ADAM15
adam17a	ADAM17
adam17b	ADAM17
LOC107396287	ADAM19
adam22	ADAM22
adam23b	ADAM23
LOC129159988	ADAM8
LOC107387480	ADAM8
adam9a	ADAM9
adamts1	ADAMTS1
myo1f	MYO1F
adamts13	ADAMTS13
LOC107387834	ADAMTS14
LOC107380758	ADAMTS8
LOC107380757	ADAMTS15
adamts15a	ADAMTS15
LOC107378752	ADAMTS16
adamts18	ADAMTS18
LOC107375858	ADAMTS2
LOC107388497	ADAMTS20
LOC107387186	ADAMTS2
adamts3	ADAMTS3
LOC107381081	ADAMTS5
adamts6	ADAMTS6
LOC107381755	ADAMTS7
adamts9	ADAMTS9
adamtsl2	ADAMTSL2
adamtsl3	ADAMTSL1
adamtsl4	THSD4
adamtsl7	THSD4
LOC107376464	ADAP1
adap2	ADAP2
LOC107382320	ADAP2
LOC107384512	ADARB1
adarb1b	ADARB1
adarb2	ADARB2
LOC107383643	ADARB2
adat1	ADAT1
adat2	ADAT2
adat3	ADAT3
adck1	ADCK1
adck2	ADCK2
coq8ab	COQ8A
coq8b	COQ8B
adck5	ADCK5
adcy1a	ADCY1
LOC107383914	ADCY1
adcy2a	ADCY2
adcy2b	ADCY2
LOC107377979	ADCY3
adcy5	ADCY5
adcy6a	ADCY6
LOC107390847	ADCY6
adcy7	ADCY7
adcy8	ADCY8
adcy9	ADCY9
LOC107376487	ADCY9
adcyap1a	ADCYAP1
adcyap1b	ADCYAP1
adcyap1r1b	ADCYAP1R1
adcyap1r1a	ADCYAP1R1
add1	ADD1
add2	ADD2
add3a	ADD3
add3b	ADD3
adh5	ADH5
adhfe1	ADHFE1
adi1	ADI1
adipor1a	ADIPOR1
adipor2	ADIPOR2
adka	ADK
adma	ADM
adm2a	ADM2
adm2b	ADM2
adnp2b	ADNP2
adnpa	ADNP
adnpb	ADNP
adoa	ADO
adob	ADO
adora1b	ADORA1
LOC107385566	ADORA1
adora2aa	ADORA2A
adora2ab	ADORA2A
adora2b	ADORA2B
adpgk	ADPGK
LOC107387950	ADPRH
adprhl1	ADPRHL1
adprs	ADPRHL2
adprm	ADPRM
adra1aa	ADRA1A
adra1ab	ADRA1A
LOC107375503	ADRA1B
adra1d	ADRA1D
adra2a	ADRA2A
adra2b	ADRA2C
LOC107394790	ADRA2B
adra2c	ADRA2C
LOC107377377	ADRA2C
adrb1	ADRB1
adrb2a	ADRB2
LOC107386754	ADRB2
adrb3a	ADRB3
grk3	GRK3
LOC107390550	ADRM1
LOC107389462	ADRM1
adsl	ADSL
adss2	ADSSL1
adssl	ADSSL1
adss1	ADSSL1
LOC107375385	ADTRP
aebp1a	AEBP1
aebp1b	AEBP1
LOC107388604	AEBP2
tle5	TLE6
afap1l1a	AFAP1L1
afap1l1b	AFAP1L1
afap1l2	AFAP1L2
aff2	AFF2
aff3	AFF3
aff4	AFF4
afg3l2	AFG3L2
afmid	AFMID
aftphb	AFTPH
aftpha	AFTPH
aga	AGA
agap1	AGAP3
agap2	AGAP2
LOC107385648	AGAP2
agap3	AGAP3
agbl5	AGBL5
agfg1a	AGFG1
agfg1b	AGFG1
aggf1	AGGF1
agk	AGK
agla	AGL
agmat	AGMAT
agmo	AGMO
agpat2	AGPAT2
agpat3	AGPAT3
LOC107373468	AGPAT4
agpat5	AGPAT5
gpat4	GPAT4
LOC107393727	GPAT4
gpat3	GPAT3
agpat9l	GPAT3
hykk.2	HYKK
agps	AGPS
agr2	AGR2
agrn	AGRN
agrp	AGRP
agt	AGT
agtpbp1	AGTPBP1
LOC107382808	AGTR1
LOC107389596	AGTR2
agtrap	AGTRAP
agxt2	AGXT2
etnppl	ETNPPL
phykpl	PHYKPL
agxta	AGXT
agxtb	AGXT
ahctf1	AHCTF1
ahcy	AHCY
ahcyl1	AHCYL1
LOC107385760	AHCYL1
ahcyl2b	AHCYL2
ahdc1	AHDC1
ahi1	AHI1
LOC107382643	AHRR
LOC107391895,LOC139066338	AHSA1
ahsg2	AHSG
aicda	AICDA
aida	AIDA
LOC107378674	AIF1L
aif1l	AIF1L
LOC107393951	AIFM3
aig1	AIG1
crybg1a	AIM1
LOC107377651	AIM1
crybg2	AIM1L
aimp1a	AIMP1
aimp1b	AIMP1
aimp2	AIMP2
LOC107393393	IKZF3
ajap1	AJAP1
ajuba	WTIP
ak1	AK1
ak2	AK2
ak3	AK3
ak4	AK4
ak5	AK5
ak7a	AK7
akap10	AKAP10
akap11	AKAP11
shoc1	C9orf84
akap12b	AKAP12
LOC107381977	AKAP13
akap17a	AKAP17A
akap6	AKAP6
LOC107378011	AKAP7
akap8l	AKAP8L
ak9	AK9
akirin1	AKIRIN1
akirin2	AKIRIN2
LOC107392253	AKIRIN2
akna	AKNA
akr1a1a,akr1a1b	AKR1A1
LOC107384350	AKR1E2
LOC107383989,LOC107388423	AKR1E2
LOC107383989,LOC107388423	AKR1D1
akr7a3	AKR7A2
akt1	AKT1
akt1s1	AKT1S1
akt2	AKT2
akt3a	AKT3
aktip	AKTIP
LOC107379073	KCNE2
LOC107378318	ZSCAN2
ptafr	PTAFR
nrde2	NRDE2
exoc3l2b	EXOC3L2
sox13	SOX13
fbrs	FBRS
LOC107382050	ZNF319
LOC107376187	PPP1R9B
gas2b	GAS2L3
nim1ka	NIM1K
LOC107377333	NWD2
dnah2	DNAH2
LOC107385972	FAM217B
LOC107380134	KIAA0100
LOC107384225	NOP9
c1ql4a	C1QL4
alad	ALAD
alas1	ALAS1
alas2	ALAS2
alcamb	ALCAM
LOC107379408,LOC107379409,zgc:56095	FTL
aldh16a1	ALDH1L2
aldh18a1	ALDH18A1
LOC107375402	ALDH18A1
aldh1a2	ALDH1A2
LOC107385971	ALDH1L1
aldh1l2	ALDH1L2
LOC107378988	ALDH2
aldh3a2b	ALDH3A2
aldh3b1	ALDH3A2
aldh4a1	ALDH4A1
aldh5a1	ALDH5A1
aldh6a1	ALDH6A1
aldh7a1	ALDH7A1
aldh8a1	ALDH8A1
aldh9a1b	ALDH9A1
alg1	ALG1L
alg10	ALG10B
LOC107389590	ALG11
alg11	ALG11
alg12	ALG12
alg13	ALG13
alg14	ALG14
alg2	ALG2
alg3	ALG3
alg5	ALG5
alg8	ALG8
alg9	ALG9
alkbh1	ALKBH1
alkbh2	ALKBH2
alkbh3	ALKBH3
alkbh4	ALKBH4
alkbh5	ALKBH5
alkbh6	ALKBH6
alkbh7	ALKBH7
alkbh8	ALKBH8
allc	ALLC
alms1	ALMS1
alox12	ALOX12
LOC107377570	ALOX12B
alox5a	ALOX5
alox5ap	ALOX5AP
LOC107392764	ALPPL2
alpk1	ALPK1
alpk2	ALPK2
alpk3a	ALPK3
als2b	ALS2
LOC107390231	ALS2
LOC107389359	ALX1
LOC107388616	ALX4
alx4a	ALX4
LOC107396438	ALYREF
alyref	ALYREF
LOC107372346	AMBP
LOC107372358	AMBP
ambra1b	AMBRA1
amd1	AMD1
amdhd1	AMDHD1
amdhd2	AMDHD2
LOC107386576	AMER1
amer2	AMER1
amfra	AMFR
amh	AMH
LOC107391016	AMHR2
amigo1	AMIGO1
LOC107385754	AMIGO1
LOC107382957	AMIGO2
amigo3	AMIGO3
ammecr1	AMMECR1
amn	AMN
amot	AMOT
amotl2a	AMOTL2
amotl2b	AMOTL2
ampd1	AMPD1
LOC107385751	AMPD2
ampd3b	AMPD3
amph	AMPH
amt	DMGDH
LOC107383562	AMY1C
anapc1	ANAPC1
anapc10	ANAPC10
anapc15	ANAPC15
anapc16	ANAPC16
anapc2	ANAPC2
anapc4	ANAPC4
anapc5	ANAPC5
anapc7	ANAPC7
angel1	ANGEL1
angel2	ANGEL2
angpt1	ANGPT1
angpt2a	ANGPT2
angpt4	ANGPT4
angptl1a	ANGPTL1
angptl1b	ANGPTL1
angptl2b	ANGPTL2
angptl3	ANGPTL3
LOC139061874	ANGPTL3
angptl4	ANGPTL4
LOC107392818	ANGPTL4
angptl6	ANGPTL6
angptl7	ANGPTL7
ank1a	ANK1
LOC107375957	ANK3
ank3b	ANK3
ankdd1b	ANKDD1B
ankef1a	ANKEF1
ankfn1a	ANKFN1
ankfy1	ANKFY1
ankha	ANKH
ankhd1	ANKHD1-EIF4EBP3
LOC107397249	ANKIB1
ankk1	ANKK1
LOC107392765	ANKLE1
ankle2	ANKLE2
ankmy1	ANKMY1
ankmy2a	ANKMY2
ankra2	ANKRA2
ankrd10a	ANKRD10
ankrd10b	ANKRD10
ankrd11	ANKRD11
ankrd12	ANKRD12
ankrd13a	ANKRD13A
LOC107383889	ANKRD13C
ankrd13d	ANKRD13A
ankrd16	ANKRD16
ankrd1a	ANKRD1
ankrd22	ANKRD22
ankrd24	ANKRD24
ankrd27	ANKRD27
LOC107383316	ANKRD28
ankrd28b	ANKRD28
ankrd29	ANKRD29
ankrd26	ANKRD20A3
slf1	SLF1
ankrd33aa	ANKRD33
ankrd33ba	ANKRD33B
ankrd33bb	ANKRD33B
LOC107379236	ANKRD34A
ankrd34ba	ANKRD34B
ankrd34c	ANKRD34C
ankrd39	ANK3
ankrd40	ANKRD40
ankrd44	ANKRD28
ankrd46b	ANKRD46
ankrd49	ANKRD49
ankrd50	ANKRD50
LOC107385672	ANKRD52
ankrd52a	ANKRD52
ankrd54	ANKRD54
LOC107378109	ANKRD63
LOC107392483	ANKRD63
zgc:112001	ANKRD9
LOC107390374	ANKS1A
anks1ab	ANKS1A
anks1b	ANKS1B
anks3	ANKS3
anks4b	ANKS4B
LOC107382631	ANKS6
ankzf1	ANKZF1
anln	ANLN
ano10a	ANO10
ano2b	ANO2
ano2a	ANO2
ano3	ANO3
LOC107382964	ANO4
ano5a	ANO5
ano6	ANO6
ano8b	ANO8
ano8a	ANO8
LOC107388656	ANO9
anp32a	ANP32D
anp32b	ANP32D
LOC107379014	ANP32E
anp32e	ANP32E
LOC107396203	ANPEP
antxr1a	ANTXR1
LOC107373148	ANTXR1
antxr2a	ANTXR2
LOC107396772	ANTXR2
LOC107375106	ANXA1
LOC107376040	ANXA11
LOC107376617	RP11-77H9.1
anxa11b	ANXA11
anxa13,anxa13l	ANXA13
anxa1a	ANXA1
LOC107388766	ANXA2
anxa3b	ANXA11
anxa4	ANXA4
anxa5a	ANXA5
anxa5b	ANXA5
anxa14	ANXA2
aoc2	AOC3
aox6	AOX1
ap1b1	AP1B1
ap1g1	AP1G1
ap1g2	AP1G1
LOC107384236	AP1G1
LOC107381706,ap1s1	AP1S1
LOC107381706,LOC107396045,ap1s1	AP1S2
ap1s3a	AP1S3
ap1s3b	AP1S3
ap2a1	AP2A2
LOC107384105	AP2M1
ap2s1	AP2S1
ap3b1a	AP3B1
LOC107380829	AP3B2
ap3d1	AP3D1
ap3m1,ap3m2	AP3M1
ap3m1,ap3m2	AP3M2
ap3s2	AP3S2
ap4b1	AP4B1
ap4e1	AP4E1
ap4m1	AP4M1
ap4s1	AP4S1
LOC107396978	AP5B1
ap5m1	AP5M1
ap5s1	AP5S1
ap5z1	FOXK1
apaf1	APAF1
apba1a	APBA1
apba1b	APBA1
apba2b	APBA2
si:ch73-40i7.5	APBA3
apbb1	APBB1
apbb1ip	APBB1IP
LOC107384313	APBB1IP
apbb2b	APBB2
apbb3	APBB3
apc	APC
LOC107383547	APCDD1
apeh	APEH
apex1	APEX1
apex2	APEX2
atg3	ATG3
api5	API5
apip	APIP
aplf	APLF
aplnrb	APLNR
aplp1	APLP1
aplp2	APLP2
apmap	APMAP
apoa1a	APOA1
naxe	NAXE
apoba	APOB
LOC107377659	APOB
apobb.1	APOB
apobec2b	APOBEC2
apoda.1	APOD
apodb	APOD
apoda.2	APOD
apoea	APOE
apoeb	APOE
LOC107391641	APOH
LOC107391632	APOH
apol1	APOLD1
apol	APOL6
si:cabz01007807.1	APOLD1
LOC107376956	APOLD1
apold1a	APOLD1
LOC107383454	APOO
LOC107383118	APOO
apool	APOOL
coa8	KLC1
appa	APP
appb	APP
appbp2	APPBP2
appl1	APPL1
appl2	APPL2
aprt	APRT
aptx	APTX
aqp10a	AQP10
aqp10b	AQP10
aqp12	AQP12A
LOC107383844	RP5-877J2.1
aqp3a	AQP3
aqp4	AQP4
aqp7	AQP10
aqp9b	AQP9
LOC107388628	AQP9
aqr	AQR
ar	AR
LOC107378241	AR
araf	ARAF
LOC107397333	ARAP1
arap2	ARAP1
arap3	ARAP3
arcn1b	ARCN1
areg	AREG
LOC107385694,arf2b,arf3a,arl1	RP11-302B13.5
LOC107387912	ARF5
LOC107388892	ARF5
arfgap1	ARFGAP1
arfgap2	ARFGAP2
arfgap3	ARFGAP2
arfgef1	ARFGEF1
arfip1	ARFIP1
LOC107376853	ARFIP1
LOC107380225	ARFIP2
arfip2b	ARFIP2
arfrp1	ARFRP1
arg1	ARG1
arg2	ARG2
arglu1a	ARGLU1
arhgap1	ARHGAP1
arhgap10	ARHGAP10
arhgap11a	ARHGAP11B
LOC107377970	ARHGAP11B
arhgap12b	ARHGAP12
arhgap15	ARHGAP15
arhgap17a	ARHGAP17
arhgap18	ARHGAP18
arhgap19	ARHGAP19-SLIT1
arhgap20	ARHGAP20
LOC107381007	ARHGAP20
arhgap21a	ARHGAP21
arhgap21b	ARHGAP21
arhgap22a	ARHGAP22
arhgap22b	ARHGAP22
arhgap23a	ARHGAP23
LOC107374279	ARHGAP23
arhgap24	ARHGAP24
arhgap25	ARHGAP25
LOC107386708	ARHGAP26
arhgap27	ARHGAP27
arhgap28	ARHGAP28
LOC107383558	ARHGAP45
arhgap30	ARHGAP30
arhgap31	ARHGAP31
arhgap32b	ARHGAP32
arhgap32a	ARHGAP32
arhgap35b	ARHGAP35
arhgap35a	ARHGAP35
arhgap39	ARHGAP39
arhgap4b	SRGAP3
LOC107385347	ARHGAP40
LOC107380177	ARHGAP42
LOC107386362	ARHGAP42
arhgap44a	ARHGAP44
LOC107387469	ARHGAP44
arhgap4a	ARHGAP4
arhgap5	ARHGAP5
LOC107389950	ARHGAP6
LOC107381065	ARHGAP6
arhgdia	ARHGDIA
arhgdig	ARHGDIB
arhgef10	ARHGEF10
arhgef11	ARHGEF11
arhgef12a	ARHGEF12
arhgef12b	ARHGEF12
arhgef15b	ARHGEF15
arhgef16	ARHGEF16
LOC107380430	ARHGEF17
arhgef18a	ARHGEF28
arhgef18b	ARHGEF28
arhgef19	ARHGEF19
arhgef1	ARHGEF12
LOC107379241	AKAP13
arhgef25a	ARHGEF25
arhgef25b	ARHGEF25
LOC107380054	ARHGEF26
arhgef28a	ARHGEF28
LOC107394273	ARHGEF28
arhgef3	ARHGEF3
arhgef33	ARHGEF33
arhgef38	ARHGEF38
arhgef39	ARHGEF39
arhgef4	ARHGEF4
arhgef40	PLEKHG4
arhgef5	ARHGEF5
arhgef6	ARHGEF6
arhgef7a	ARHGEF7
arhgef7b	ARHGEF7
LOC107380808	ARHGEF9
arid1aa	ARID1A
arid1ab	ARID1A
LOC107392507	ARID1A
arid1b	ARID1B
arid2	ARID2
arid3a	ARID3A
LOC107382041	ARID3B
LOC107388448	ARID3B
LOC129154661	ARID3C
arid4a	ARID4A
arid5b	ARID5B
arih1	ARIH1
arih2	ARIH2
arl10	ARL10
arl11	ARL11
arl13a	ARL13A
arl13b	ARL13B
LOC107384003	ARL11
arl14ep	RP11-293I14.2
arl15a	ARL15
arl16	ARL16
arl2	ARL2-SNX15
arl2bp	ARL2BP
arl4aa	ARL4A
arl4ca	ARL4C
LOC107395800	ARL4C
arl4d	ARL4D
arl5a,arl8	ARL5A
arl6	ARL6
LOC107374235	ARL6
arl6ip1	ARL6IP1
arl6ip4	ARL6IP4
LOC107396418	ARL6IP5
arl6ip6	ARL6IP6
LOC107385792,arl8ba	ARL8B
arl9	ARL9
armc1	ARMC1
LOC107383734	ARMC1
armc10	ARMCX1
armc2	ARMC2
odad2	ARMC4
LOC107374083	ARMC4
armc5	ARMC7
armc6	ARMC6
armc7	ARMC7
LOC107392757	ARMC9
arnt	ARNT2
bmal1a	ARNTL
LOC107382796	ARNTL2
bmal2	ARNTL2
LOC107388895	ARPC1A
LOC107388883	ARPC1B
arpc2	ARPC2
arpc3	ARPC3
LOC107384938,arpc4	ARPC4
arpc5b	ARPC5
arpp19a	MYO5A
arpp19b	MYO5A
arpp21	ARPP21
arr3b	ARRB1
arr3a	ARRB1
arrb1	ARRB1
LOC107373571	ARRDC1
arrdc1b	ARRDC1
arrdc2	ARRDC2
arrdc3a	ARRDC3
arrdc3b	ARRDC3
arsa	ARSA
arsb	ARSB
LOC107388191	ARSG
LOC107383443	ARSI
arsj	ARSJ
arsk	ARSK
LOC107373420	ARTN
arv1	ARV1
arvcfa	ARVCF
arvcfb	ARVCF
arxa	ARX
as3mt	AS3MT
asah1b	ASAH1
asah2	ASAH2B
asap1b	ASAP1
asap2a	ASAP1
asap2b	ASAP1
asap3	ASAP3
asb1	ASB1
asb10	ASB10
asb11	ASB11
asb12a	ASB12
asb13a.1	ASB13
LOC129162974	ASB13
asb13b	ASB13
asb14b	ASB14
asb15b	ASB15
asb16	ASB16
ankrd53	ANKRD53
asb2a.1	ASB2
LOC139063254	ASB2
LOC107392339	ASB2
asb3	ASB3
asb4	ASB4
spata4	SPATA4
asb5a	ASB5
asb7	ASB7
LOC107389933	ASB9
ascc1	ASCC1
ascc2	ASCC2
ascc3	ASCC3
ascl1a	ASCL1
ascl1b	ASCL1
LOC107382405	ASCL5
LOC107384850	ASCL5
asf1bb	ASF1B
ash2l	ASH2L
asic1c	ASIC1
asic4a	ASIC4
asip1	ASIP
asl	ASL
asmt	ASMT
get3	ASNA1
asns	ASNS
asnsd1	ASNSD1
aspa	ASPA
unm_hu7910	ASPH
asphd2	ASPH
aspm	ASPM
aspn	ASPN
aspscr1	ASPSCR1
asrgl1	ASRGL1
ass1	ASS1
astn1	ASTN1
ints13	ASUN
asxl1	ASXL1
asxl2	ASXL2
asz1	ASZ1
LOC107378954	ATAD2
LOC107394427	ATAD2
atad2b	ATAD2B
atad3	ATAD3C
atad5b	ATAD5
atad5a	ATAD5
atcaya	ATCAY
atcayb	ATCAY
LOC107375399	ATE1
atf1	ATF1
atf2	ATF2
atf3	ATF3
atf4a	ATF4
atf4b	ATF4
atf5a	ATF5
atf5b	ATF5
atf6	ATF6
atf6b	ATF6
atf7a	ATF7
atf7b	ATF7
atf7ip	ATF7IP
atg10	ATG10
atg13	ATG13
atg16l1	ATG16L1
LOC107379902	ATG16L2
atg2a	ATG2B
LOC107392381	ATG2B
atg4b	ATG4B
atg4c	ATG4C
atg4da	ATG4D
LOC107376227	ATG4D
atg5	ATG5
atg7	ATG7
atg9a	ATG9A
atg9b	ATG9B
atic	ATIC
atl1	ATL1
LOC107375818	ATL2
zgc:158270	ATL2
atl3	ATL3
atmin	ATMIN
atn1	ATN1
atoh1a	ATOH1
atoh7	ATOH7
atoh8	ATOH8
atp10a	ATP10A
atp10b	ATP10B
atp10d	ATP10D
LOC107389776	ATP11A
atp11a	ATP11A
atp11c	ATP11C
atp13a1	ATP13A1
atp13a2	ATP13A2
LOC107397019	ATP13A3
atp13a3	ATP13A3
LOC107377204	ATP1A1
atp1a2a	ATP1A1
atp1a3a,atp1a3b	ATP1A1
atp1b1a	ATP1B1
atp1b1b	ATP1B1
LOC107395460	ATP1B3
atp1b2b	ATP1B3
atp1b3a	ATP1B3
atp1b3b	ATP1B3
atp1b4	ATP1B4
atp2a1	ATP2A3
atp2a1l	ATP2A3
atp2a2a	ATP2A2
atp2a2b	ATP2A2
atp2a3	ATP2A3
atp2b1a	ATP2B1
LOC107396072	ATP2B1
atp2b2	ATP2B2
atp2b3b	ATP2B3
LOC107384816	ATP2B4
atp2c1	ATP2C1
atp5f1b	ATP5B
atp5f1c	ATP5C1
atp5f1d	ATP5D
atp5pb	ATP5F1
atp5mc3a	ATP5G3
LOC107381159	ATP5G3
atp5pd	ATP5H
atp5mea	ATP5I
atp5pf	ATP5J
atp5l	ATP5L
atp5po	AP000304.12
dmac2l	ATP5S
dmac2	ATP5SL
atp6ap1a	ATP6AP1
atp6ap1lb	ATP6AP1L
atp6ap1la	ATP6AP1L
atp6ap2	ATP6AP2
atp6v0a1a	ATP6V0A1
LOC107374275	ATP6V0A1
atp6v0a2a	ATP6V0A2
atp6v0a2b	ATP6V0A2
atp6v0b	ATP6V0B
atp6v0d1	ATP6V0D1
LOC107386421,atp6v1ab	ATP5B
LOC107397252	ATP6V1C1
atp6v1c1a	ATP6V1C1
atp6v1d	ATP6V1D
mogat3b	DGAT2
atp6v1e1a,atp6v1e1b	ATP6V1E1
atp6v1f	ATP6V1F
atp6v1g1	ATP6V1G1
atp6v1h	ATP6V1H
atp7a	ATP7A
atp7b	ATP7B
atp8a1	ATP8A1
atp8a2	ATP8A2
atp8b1	ATP8B4
atp8b2	ATP8B4
atp8b3	ATP8B4
LOC129153486	ATP8B4
LOC107390453	ATP9A
atp9b	ATP9B
atpaf1	ATPAF1
atpaf2	ATPAF2
dph6	DPH6
atp5if1a	ATPIF1
atp5if1b	ATPIF1
atp6v0e1	ATP6V0E1
atr	ATR
atrip	ATRIP
atrn	ATRN
atrnl1b	ATRNL1
atrx	ATRX
atxn10	ATXN10
atxn1a	ATXN1
atxn1b	ATXN1
atxn1l	ATXN1L
atxn2	ATXN2
atxn2l	ATXN2
atxn3	ATXN3
LOC107385446	ATXN7
atxn7l1	ATXN7L1
atxn7l3a	ATXN7L3
aup1	AUP1
aurka	AURKA
aurkaip1	AURKAIP1
aurkb	AURKC
auts2a	AUTS2
aven	AVEN
avil	VIL1
avl9	AVL9
avp	AVP
avpr1aa	AVPR1A
LOC139071500	AVPR1A
avpr2aa	AVPR2
axdnd1	AXDND1
axin1	AXIN1
LOC107395828	AXIN1
LOC107376523	AXIN2
LOC107390091	AXIN2
LOC107379825	AXL
cep131	CEP131
LOC107378855	AZIN1
azin1b	AZIN1
b2m	B2M
LOC107382703	B2M
b3galnt2	B3GALNT2
LOC107380986	B3GALT1
b3galt1b	B3GALT1
b3galt2	B3GALT2
b3galt6	B3GALT6
b3glcta	B3GLCT
b3glctb	B3GLCT
b3gat1a	B3GAT1
b3gat2	B3GAT2
b3gat3	B3GAT1
b4gat1	B4GAT1
b3gnt2a	B3GNT2
b3gnt2b	B3GNT2
LOC107386572,LOC139071566	B3GNT3
LOC129166832	B3GNT3
LOC107376009	B3GNT3
LOC107384478	B3GNT5
b3gnt5a	B3GNT5
b3gnt7	B3GNT7
b3gnt9	B3GNT9
b3gntl1	B3GNTL1
b4galnt1b	B4GALNT1
b4galnt1a	B4GALNT1
b4galnt3b	B4GALNT3
b4galt1l	B4GALT1
b4galt2	B4GALT2
b4galt4	B4GALT4
b4galt7	B4GALT7
b9d1	B9D1
baalcb	BAALC
si:ch211-215i13.3	BAALC
babam1	CTD-2278I10.6
bace2	BACE2
LOC107380215	BACH1
bach1b	BACH1
bach2b	BACH2
bag1	BAG1
bag2	BAG2
bag3	BAG3
bag4	BAG4
bag5	BAG5
bag6	RPS27A
LOC107378270	BAHCC1
bahcc1b	BAHCC1
LOC107378103	BAHD1
LOC107394554	ADGRB1
adgrb2	ADGRB2
adgrb3	ADGRB3
baiap2b	BAIAP2
LOC107378276	BAIAP2
baiap2l1b	BAIAP2L1
LOC107375173	FAM20C
