MT-ND1	mt-Nd1
EIF1AY	Eif1ad15
EIF1AY	Eif1ad4
EIF1AY	Eif1ad10
TMPRSS15	Tmprss15
IGHV1OR21-1	Ighv1-18
IGHV1OR21-1	Ighv1-78
IGHV1OR21-1	Ighv15-2
IGHV1OR21-1	Ighv1-22
IGHV1OR21-1	Ighv1-39
IGHV1OR21-1	Ighv1-76
IGHV1OR21-1	Ighv1-72
IGHV1OR21-1	Ighv1-64
IGHV1OR21-1	Ighv1-34
IGHV1OR21-1	Ighv1-67
IGHV1OR21-1	Ighv1-80
IGHV1OR21-1	Ighv1-77
IGHV1OR21-1	Ighv1-26
IGHV1OR21-1	Ighv1-53
IGHV1OR21-1	Ighv1-5
IGHV1OR21-1	Ighv1-9
IGHV1OR21-1	Ighv14-4
IGHV1OR21-1	Ighv1-62-1
IGHV1OR21-1	Ighv1-4
IGHV1OR21-1	Ighv1-63
IGHV1OR21-1	Ighv1-19
IGHV1OR21-1	Ighv1-82
IGHV1OR21-1	Ighv1-71
IGHV1OR21-1	Ighv1-49
IGHV1OR21-1	Ighv1-62-2
IGHV1OR21-1	Ighv1-55
IGHV1OR21-1	Ighv1-61
IGHV1OR21-1	Ighv1-24
IGHV1OR21-1	Ighv1-42
IGHV1OR21-1	Ighv1-52
IGHV1OR21-1	Ighv1-84
IGHV1OR21-1	Ighv1-31
IGHV1OR21-1	Ighv14-1
IGHV1OR21-1	Ighv1-11
IGHV1OR21-1	Ighv1-15
IGHV1OR21-1	Ighv1-69
IGHV1OR21-1	Ighv1-43
IGHV1OR21-1	Ighv1-56
IGHV1OR21-1	Ighv1-59
IGHV1OR21-1	Ighv1-37
IGHV1OR21-1	Ighv1-81
IGHV1OR21-1	Ighv1-20
IGHV1OR21-1	Ighv1-66
IGHV1OR21-1	Ighv1-75
IGHV1OR21-1	Ighv1-7
IGHV1OR21-1	Ighv1-62-3
IGHV1OR21-1	Ighv1-23
IGHV1OR21-1	Ighv1-36
IGHV1OR21-1	Ighv1-12
IGHV1OR21-1	Ighv14-3
IGHV1OR21-1	Ighv1-16
IGHV1OR21-1	Ighv1-47
IGHV1OR21-1	Ighv1-54
IGHV1OR21-1	Ighv1-85
IGHV1OR21-1	Ighv1-58
IGHV1OR21-1	Ighv1-74
IGHV1OR21-1	Ighv1-50
IGHV1OR21-1	Ighv14-2
CLDN17	Cldn17
KRTAP24-1	Krtap24-1
NCAM2	Ncam2
CLDN8	Cldn8
MORC3	Morc3
CHODL	Chodl
SNORA70	Gm22942
RNU6-113P	Gm25578
RN7SKP147	Gm55389
RN7SKP147	Gm54881
RNU2-55P	Gm25052
RNU1-139P	Gm55339
U6	Gm25147
CBR1	Cbr1b
CBR1	Cbr1
SIM2	Sim2
RIPPLY3	Ripply3
RNU6-696P	Gm26008
RRP1B	Rrp1b
AGPAT3	Agpat3
RNU6-1150P	Gm25578
TPTE	Tpte
RNU6-954P	Gm22279
RNU6-954P	Gm54642
PCP4	Pcp4
DSCAM	Dscam
RIPK4	Ripk4
TFF2	Tff2
TFF1	Tff1
UBASH3A	Ubash3a
DNMT3L	Dnmt3l
CFAP410	Cfap410
KRTAP10-6	Krtap5-26
KRTAP10-6	Krtap5-24
KRTAP10-6	Krtap5-2
KRTAP10-6	Krtap5-20
KRTAP10-6	Krtap12-20
KRTAP10-6	Krtap12-23
KRTAP10-6	Krtap12-21
KRTAP10-6	Krtap12-1
KRTAP10-6	Krtap12-22
KRTAP10-6	Krtap10-33
KRTAP10-6	Krtap10-32
KRTAP10-6	Krtap10-30
KRTAP10-6	Krtap10-28
KRTAP10-6	Krtap10-31
KRTAP10-6	Krtap10-29
KRTAP10-6	Gm49918
KRTAP10-6	Krtap10-27
KRTAP10-6	Krtap10-26
KRTAP10-6	Krtap10-22
KRTAP10-6	Krtap10-23
KRTAP10-6	Krtap10-25
KRTAP10-6	Krtap10-21
KRTAP10-6	Krtap10-24
KRTAP10-6	Krtap10-10
KRTAP10-6	Krtap10-4
KRTAP10-6	Krtap10-35
KRTAP10-6	Krtap10-34
KRTAP10-11	Krtap5-26
KRTAP10-11	Krtap5-24
KRTAP10-11	Krtap5-2
KRTAP10-11	Krtap5-20
KRTAP10-11	Krtap1-4
KRTAP10-11	Krtap1-3
KRTAP10-11	Krtap9-3
KRTAP10-11	Krtap12-20
KRTAP10-11	Krtap12-23
KRTAP10-11	Krtap12-21
KRTAP10-11	Krtap12-1
KRTAP10-11	Krtap12-22
KRTAP10-11	Krtap10-33
KRTAP10-11	Krtap10-32
KRTAP10-11	Krtap10-30
KRTAP10-11	Krtap10-28
KRTAP10-11	Krtap10-31
KRTAP10-11	Krtap10-29
KRTAP10-11	Gm49918
KRTAP10-11	Krtap10-27
KRTAP10-11	Krtap10-26
KRTAP10-11	Krtap10-22
KRTAP10-11	Krtap10-23
KRTAP10-11	Krtap10-25
KRTAP10-11	Krtap10-21
KRTAP10-11	Krtap10-24
KRTAP10-11	Krtap10-10
KRTAP10-11	Krtap10-4
KRTAP10-11	Krtap10-35
KRTAP10-11	Krtap10-34
KRTAP10-11	Krtap9-5
KRTAP10-11	Krtap2-20
KRTAP10-11	Krtap2-22
KRTAP10-11	Krtap2-4
KRTAP10-11	Krtap2-21
KRTAP12-3	Krtap10-33
KRTAP12-3	Krtap10-32
KRTAP12-3	Krtap10-30
KRTAP12-3	Krtap10-28
KRTAP12-3	Krtap10-31
KRTAP12-3	Krtap10-29
KRTAP12-3	Gm49918
KRTAP12-3	Krtap10-27
KRTAP12-3	Krtap10-26
KRTAP12-3	Krtap10-22
KRTAP12-3	Krtap10-23
KRTAP12-3	Krtap10-25
KRTAP12-3	Krtap10-21
KRTAP12-3	Krtap10-24
KRTAP12-3	Krtap10-10
KRTAP12-3	Krtap10-4
KRTAP12-3	Krtap10-35
KRTAP12-3	Krtap10-34
KRTAP12-2	Krtap10-33
KRTAP12-2	Krtap10-32
KRTAP12-2	Krtap10-30
KRTAP12-2	Krtap10-28
KRTAP12-2	Krtap10-31
KRTAP12-2	Krtap10-29
KRTAP12-2	Gm49918
KRTAP12-2	Krtap10-27
KRTAP12-2	Krtap10-26
KRTAP12-2	Krtap10-22
KRTAP12-2	Krtap10-23
KRTAP12-2	Krtap10-25
KRTAP12-2	Krtap10-21
KRTAP12-2	Krtap10-24
KRTAP12-2	Krtap10-10
KRTAP12-2	Krtap10-4
KRTAP12-2	Krtap10-35
KRTAP12-2	Krtap10-34
KRTAP12-1	Krtap10-33
KRTAP12-1	Krtap10-32
KRTAP12-1	Krtap10-30
KRTAP12-1	Krtap10-28
KRTAP12-1	Krtap10-31
KRTAP12-1	Krtap10-29
KRTAP12-1	Gm49918
KRTAP12-1	Krtap10-27
KRTAP12-1	Krtap10-26
KRTAP12-1	Krtap10-22
KRTAP12-1	Krtap10-23
KRTAP12-1	Krtap10-25
KRTAP12-1	Krtap10-21
KRTAP12-1	Krtap10-24
KRTAP12-1	Krtap10-10
KRTAP12-1	Krtap10-4
KRTAP12-1	Krtap10-35
KRTAP12-1	Krtap10-34
OLIG1	Olig1
UMODL1	Umodl1
KRTAP8-1	Krtap8-1
KRTAP7-1	Krtap7-1
KRTAP11-1	Krtap11-1
LIPI	Lipi
KRTAP10-9	Krtap5-26
KRTAP10-9	Krtap5-24
KRTAP10-9	Krtap5-2
KRTAP10-9	Krtap5-20
KRTAP10-9	Krtap12-20
KRTAP10-9	Krtap12-23
KRTAP10-9	Krtap12-21
KRTAP10-9	Krtap12-1
KRTAP10-9	Krtap12-22
KRTAP10-9	Krtap10-33
KRTAP10-9	Krtap10-32
KRTAP10-9	Krtap10-30
KRTAP10-9	Krtap10-28
KRTAP10-9	Krtap10-31
KRTAP10-9	Krtap10-29
KRTAP10-9	Gm49918
KRTAP10-9	Krtap10-27
KRTAP10-9	Krtap10-26
KRTAP10-9	Krtap10-22
KRTAP10-9	Krtap10-23
KRTAP10-9	Krtap10-25
KRTAP10-9	Krtap10-21
KRTAP10-9	Krtap10-24
KRTAP10-9	Krtap10-10
KRTAP10-9	Krtap10-4
KRTAP10-9	Krtap10-35
KRTAP10-9	Krtap10-34
KRTAP10-4	Krtap5-26
KRTAP10-4	Krtap5-24
KRTAP10-4	Krtap5-2
KRTAP10-4	Krtap5-20
KRTAP10-4	Krtap1-4
KRTAP10-4	Krtap1-3
KRTAP10-4	Krtap9-3
KRTAP10-4	Krtap12-20
KRTAP10-4	Krtap12-23
KRTAP10-4	Krtap12-21
KRTAP10-4	Krtap12-1
KRTAP10-4	Krtap12-22
KRTAP10-4	Krtap10-33
KRTAP10-4	Krtap10-32
KRTAP10-4	Krtap10-30
KRTAP10-4	Krtap10-28
KRTAP10-4	Krtap10-31
KRTAP10-4	Krtap10-29
KRTAP10-4	Gm49918
KRTAP10-4	Krtap10-27
KRTAP10-4	Krtap10-26
KRTAP10-4	Krtap10-22
KRTAP10-4	Krtap10-23
KRTAP10-4	Krtap10-25
KRTAP10-4	Krtap10-21
KRTAP10-4	Krtap10-24
KRTAP10-4	Krtap10-10
KRTAP10-4	Krtap10-4
KRTAP10-4	Krtap10-35
KRTAP10-4	Krtap10-34
KRTAP10-4	Krtap9-5
KRTAP10-4	Krtap2-20
KRTAP10-4	Krtap2-22
KRTAP10-4	Krtap2-4
KRTAP10-4	Krtap2-21
MCM3AP	Mcm3ap
MZT1	Mzt1
ERICH6B	Erich6b
KLHL1	Klhl1
TTC3	Ttc3
FREM2	Frem2
CBY2	Cby2
POU4F1	Pou4f1
NHLRC3	Nhlrc3
OLFM4	Olfm4
DIAPH3	Diaph3
KRTAP26-1	Krtap26-1
KRTAP27-1	Krtap27-1
KRTAP13-2	Krtap13-1
KRTAP13-1	Krtap13-1
KRTAP15-1	Krtap15-1
KRTAP13-3	Krtap13-23
KRTAP13-3	Krtap13-20
KRTAP13-3	Krtap13
KRTAP13-3	Krtap13-24
KRTAP13-3	Krtap13-21
RNU6-426P	Gm54599
SNORD74B	Gm26224
MIR99A	Mir99a
MIRLET7C	Mirlet7c-1
RNU1-98P	Gm25308
KRTAP13-4	Krtap13-1
PCNT	Pcnt
SON	Son
PCDH17	Pcdh17
LRCH1	Lrch1
SLITRK6	Slitrk6
SOX1	Sox1
MYO16	Myo16
NRIP1	Nrip1
RCAN1	Rcan1
IRS2	Irs2
SPACA7	Spaca7
NALF1	Nalf1
GRK1	Grk1
UBL3	Ubl3
GRIK1	Grik1
FAM216B	Fam216b
RN7SKP1	Gm55840
RN7SKP2	Gm54538
RNU6-38P	Gm23169
SNORD31B	Gm23246
SNORD36	Gm24134
RNU6-58P	Gm24211
KCNRG	Kcnrg
MIR15A	Mir15a
FAM124A	Fam124a
ZAR1L	Zar1l
RNU6-1326P	Gm26424
MRPS6	Mrps6
RFXAP	Rfxap
SIAH3	Siah3
SLC5A3	Slc5a3
CCDC168	Ccdc168
KCNE2	Kcne2
SNORA31	Gm24165
SNORA31	Gm24240
SNORA31	Snora31
SLITRK1	Slitrk1
RN7SL597P	Gm22649
KBTBD6	Kbtbd6
KBTBD7	Kbtbd7
RNU6-57P	Gm23096
CYYR1	Cyyr1
RAP2A	Rap2a
CRYAA	Cryaa
RNU2-7P	Gm25202
SHISA2	Shisa2
RXFP2	Rxfp2
FRY	Fry
UTP14C	Utp14b
UTP14C	Utp14a
CCDC70	Ccdc70
GPR18	Gpr18
TNFSF13B	Tnfsf13b
ATP8A2	Atp8a2
SACS	Sacs
AKAIN1	Akain1
SLC14A2	Slc14a2
KCTD12	Kctd12
CLN5	Cln5
CTAGE1	Mia2
HRH4	Hrh4
SERPINE3	Serpine3
ST8SIA3	St8sia3
METTL21C	Mettl21c
SLC10A2	Slc10a2
BOD1L2	Bod1
CDH7	Cdh7
ZIC2	Zic2
ZIC5	Zic5
GSX1	Gsx1
MC4R	Mc4r
PDX1	Pdx1
NBEA	Nbea
CDH20	Cdh20
C18orf21	2700062C07Rik
SLC39A6	Slc39a6
SNORD27	Gm24452
FGF9	Fgf9
GALR1	Galr1
RNU1-16P	Gm25587
ADPRHL1	Adprhl1
MBP	Mbp
TPTE2	Tpte
TNFSF11	Tnfsf11
ALG11	Alg11
LRRC63	Lrrc63
PCDH20	Pcdh20
RNF17	Rnf17
NDFIP2	Ndfip2
RNU6-349P	Gm22880
RNU6-916P	Gm22352
RNU6-1289P	Gm22345
RN7SKP182	Gm55615
MIR187	Mir187
RNU6-706P	Gm55060
RNU6-708P	Gm23142
RNU6-708P	Gm22716
RNU6-708P	Gm23926
RNU6-708P	Gm26240
RNU6-708P	Gm24423
RNU6-116P	Gm23648
RNU6-116P	Gm26177
RNU6-567P	Gm23545
RNU6-39P	Gm26285
RNU6-655P	Gm26166
DSG4	Dsg4
RNU6-83P	Gm25337
RNU6-83P	Gm22229
RN7SKP7	Gm54931
ATP4B	Atp4b
DLEU7	Dleu7
SLAIN1	Slain1
SNORD58A	Gm23301
SNORD58B	Snord58b
SNORD58B	Gm22354
RNU1-46P	Gm22456
RNU1-46P	Gm23850
MEX3C	Mex3c
ONECUT2	Onecut2
MIR122	Mir122
RNU6-219P	Gm54984
RNU6-219P	Gm24164
PTPRM	Ptprm
KL	Kl
PCDH8	Pcdh8
RNU6-55P	Gm22279
RNU6-55P	Gm54642
DACH1	Dach1
RNU1-24P	Gm55063
RNU1-24P	Gm24291
RNU1-24P	Gm24145
RNU1-24P	Gm23727
RNU1-24P	Gm23039
RNU6-82P	Gm55093
NUFIP1	Nufip1
APCDD1	Apcdd1
RN7SKP3	Gm55378
KCTD4	Kctd4
PABPC3	Pabpc6
PABPC3	Pabpc2
AMER2	Amer2
SOHLH2	Sohlh2
BCL2	Bcl2
CCDC169	Ccdc169
CIDEA	Cidea
DSC3	Dsc3
DSC1	Dsc1
ACOD1	Acod1
GPC6	Gpc6
DSG1	Dsg1b
DSG1	Dsg1a
DSG1	Dsg1c
DCT	Dct
RNU6-167P	Gm25549
PSMA8	Psma8
SOX21	Sox21
RNU6-62P	Gm25792
HS6ST3	Hs6st3
NFATC1	Nfatc1
TUBA3C	Tuba3b
GPC5	Gpc5
URAD	Urah
C1QTNF9B	C1qtnf9
BRCA2	Brca2
ING1	Ing1
GTF3A	Gtf3a
RN7SKP8	Gm55378
LAMA3	Lama3
C13orf46	1700029H14Rik
C13orf42	Gm4131
SNORD102	Gm25091
SNORA27	Gm23202
GNAL	Gnal
MEP1B	Mep1b
LOXHD1	Loxhd1
SERPINB13	Serpinb13
SERPINB4	Serpinb3a
SERPINB4	Serpinb3d
SERPINB4	Serpinb3b
SERPINB4	Serpinb3c
SERPINB11	Serpinb11
DIPK1C	Dipk1c
C18orf63	Gm17266
SERPINB12	Serpinb12
PRELID3A	Prelid3a
RAB12	Rab12
TXNL4A	Txnl4a
RBFA	Rbfa
PARD6G	Pard6g
WDR7	Wdr7
CETN1	Cetn1
LRRC30	Lrrc30
TXNDC2	Txndc2
PIEZO2	Piezo2
CCDC178	Ccdc178
MC5R	Mc5r
STARD6	Stard6
MIR133A1	Mir133a-1
MIR1-2	Mir1a-2
RNU6-1038P	Gm24925
GRP	Grp
RAX	Rax
CPLX4	Cplx4
SIGLEC15	Siglec15
RN7SKP26	Gm55956
RN7SKP26	Gm55102
ASXL3	Asxl3
ZNF519	Zfp941
C21orf140	Fam243
SMIM34	Smim34
SERPINB10	Serpinb10
SLC35G4	Slc35g3
CHMP1B	Chmp1b
TSHZ1	Tshz1
RNU6-346P	Gm24552
ZNF236	Zfp236
U1	Gm25115
MIR155	Mir155
GET1	Get1
RNU6-316P	Gm22279
RNU6-316P	Gm54642
PTGR3	Ptgr3
RNU6-831P	Gm23794
DLGAP1	Dlgap1
ITSN1	Itsn1
DCC	Dcc
ADRA1D	Adra1d
DEFB129	Defb23
DEFB125	Defb26
INSM1	Insm1
DEFB128	Defb20
ROCK1	Rock1
BTBD3	Btbd3
ISM1	Ism1
SCRT2	Scrt2
DEFB127	Defb22
DEFB115	Defb28
FAM83D	Fam83d
KCNB1	Kcnb1
MC3R	Mc3r
CBLN4	Cbln4
SLC25A52	Slc25a51
RBBP8NL	Rbbp8nl
RNU6-1050P	Gm25269
RNU5A-6P	Gm23102
PMEPA1	Pmepa1
SALL4	Sall4
SCP2D1	Scp2d1
BHLHE23	Bhlhe23
CDH4	Cdh4
SS18L1	Ss18l1
SYCP2	Sycp2
LAMA5	Lama5
5_8S_rRNA	Gm54867
5_8S_rRNA	Gm55073
RNU1-23P	Gm23895
RNU6-347P	Gm23567
RNU6-929P	Gm23308
MIR1-1	Mir1a-1
MIR133A2	Mir133a-1
RBPJL	Rbpjl
TP53TG5	Trp53tg5
TUBB1	Tubb1
C20orf173	6430550D23Rik
FTCD	Ftcd
FITM2	Fitm2
GTSF1L	Gtsf1l
OSM	Osm
OTOR	Otor
R3HDML	R3hdml
NCF4	Ncf4
MIR124-3	Mir124a-3
BIRC7	Birc7
NKAIN4	Nkain4
PWP2	Pwp2
RNU6-994P	Gm54874
RNU6-994P	Gm26485
CHRNA4	Chrna4
CACNA1I	Cacna1i
MKKS	Mkks
COL6A1	Col6a1
XKR7	Xkr7
PLAGL2	Plagl2
FAM83C	Fam83c
OXT	Oxt
ICOSLG	Icosl
AVP	Avp
RNU6-1019P	Gm22681
RNU6-1019P	Gm24430
RNU6-1019P	Gm25784
FOXS1	Foxs1
RNU6-192P	Gm22056
OVOL2	Ovol2
HLCS	Hlcs
SNORD17	Snord17
RN7SKP74	Gm55136
PET117	Pet117
CLDN14	Cldn14
RNU6-917P	Gm22157
RNU6-917P	Gm24538
SNX21	Snx21
ENTHD1	Enthd1
ABCG1	Abcg1
LIF	Lif
TRIOBP	Triobp
C20orf144	1700003F12Rik
PROKR2	Prokr2
BANF2	Banf2
TOP1	Top1
PRND	Prnd
RTL6	Rtl6
MAFB	Mafb
PKDREJ	Pkdrej
SLPI	Slpi
SPINT3	Spint3
SHISAL1	Shisal1
SIK1	Sik1
EPPIN	Eppin
5_8S_rRNA	Gm54867
5_8S_rRNA	Gm55073
U2	Gm23788
SNORD83A	Gm55357
SNORD83B	Snord83b
WFDC3	Wfdc3
RUNX1	Runx1
CRYBA4	Cryba4
TNNC2	Tnnc2
LRRC3	Lrrc3
C2CD2	C2cd2
NTSR1	Ntsr1
MIR103A2	Mir103-2
DEFB132	Defb15
DEFB132	Defb34
DEFB132	Defb22
ZCCHC3	Zcchc3
FAM210B	Fam210b
MYO18B	Myo18b
FAM209A	Fam209
FAM209B	Fam209
ZNFX1	Znfx1
TFF3	Tff3
IL10RB	Il10rb
SNORD12C	Gm25878
SNORD12B	Gm23201
SNORD12	Snord12
MOCS3	Mocs3
HCK	Hck
TCP10L	Tcp10a
TCP10L	Tcp10b
TCP10L	Tcp10c
RBM11	Rbm11
TRPM2	Trpm2
SOX12	Sox12
PCDH9	Pcdh9
NEURL2	Neurl2
WFDC13	Wfdc13
SPINT4	Spint4
TMEM239	Tmem239
TCF15	Tcf15
SPATA25	Spata25
SRMS	Srms
ZNF831	Zfp831
CBFA2T2	Cbfa2t2
MICAL3	Mical3
ACTL10	Actl10
HSPA13	Hspa13
LTN1	Ltn1
CSTL1	Cstl1
OCSTAMP	Ocstamp
SLC13A3	Slc13a3
UBE2G2	Ube2g2
ACR	Acr
GCNT7	Gcnt7
SLC12A5	Slc12a5
CELSR1	Celsr1
TRAPPC10	Trappc10
PARVB	Parvb
AMELX	Amelx
KAT14	Kat14
FAM9B	Gm14692
FAM9B	Xlr5c
FAM9B	Xlr4b
FAM9B	Gm1140
FAM9B	Xlr5a
FAM9B	Xlr3a
FAM9B	Xlr4c
FAM9B	Xlr4a
FAM9B	Xlr3c
FAM9B	Xlr3b
FAM9B	Xlr5b
RNU6-64P	Gm25425
Metazoa_SRP	Gm55425
Metazoa_SRP	Gm56405
Metazoa_SRP	Gm55356
Metazoa_SRP	Gm54487
Metazoa_SRP	Gm25735
Metazoa_SRP	Gm24809
Metazoa_SRP	Gm25574
Metazoa_SRP	Gm25072
Metazoa_SRP	Gm56028
Metazoa_SRP	Gm54720
Metazoa_SRP	Gm27956
Metazoa_SRP	Gm24576
Metazoa_SRP	Gm56145
Metazoa_SRP	Gm55459
Metazoa_SRP	Gm56242
RNU6-495P	Gm24584
SNU13	Snu13
FAM9A	Gm14692
FAM9A	Xlr5c
FAM9A	Xlr4b
FAM9A	Gm1140
FAM9A	Xlr5a
FAM9A	Xlr3a
FAM9A	Xlr4c
FAM9A	Xlr4a
FAM9A	Xlr3c
FAM9A	Xlr3b
FAM9A	Xlr5b
TGM3	Tgm3
TGM6	Tgm6
GRPR	Grpr
BEND2	Bend2
MIR185	Mir185
UBE2L5	Ube2l3
MIR3618	Mir3618
MIR1306	Mir1306
SNORA71E	Gm25187
SNORA77B	Gm25777
SNORA60	Gm25129
CCDC188	Ccdc188
SLC32A1	Slc32a1
KLHL34	Klhl34
CNBD2	Cnbd2
RTN4R	Rtn4r
KCNJ6	Kcnj6
METTL21EP	Mettl21e
CNKSR2	Cnksr2
RRP1	Rrp1
TXNRD2	Txnrd2
TAF4	Taf4
C20orf202	Tmem74bos
WFDC8	Wfdc8
MIR17	Mir17
MIR18A	Mir18
MIR19A	Mir19a
MIR20A	Mir20a
MIR19B1	Mir19b-1
ADIG	Adig
RNU6-60P	Gm22290
5_8S_rRNA	Gm54867
5_8S_rRNA	Gm55073
U6	Gm22279
U6	Gm54642
FASTKD5	Fastkd5
TP53RK	Trp53rka
TP53RK	Trp53rkb
HMGB1P1	Hmgb1
CIMIP1	Cimip1
ANKRD60	Ankrd60
SUN5	Sun5
BPIFB4	Bpifb4
BPIFA2	Bpifa2
ATP5PO	Atp5po
BPIFA3	Bpifa3
BPIFB3	Bpifb3
FGF14	Fgf14
AHCY	Ahcy
AHCY	Ahcyl
KLF5	Klf5
RUBCNL	Rubcnl
GINS1	Gins1
DYRK1A	Dyrk1a
SMIM26	Smim26
PANX2	Panx2
SLC15A1	Slc15a1
MIR33A	Mir33
HMOX1	Hmox1
SPO11	Spo11
CACNG2	Cacng2
SLC5A4	Slc5a4a
APOBEC3H	Apobec3
RBM38	Rbm38
DEFB121	Defb22
DEFB123	Defb36
DEFB124	Defb25
NOL4L	Nol4l
CIMIP4	Cimip4
RNU6-900P	Gm25006
RNU6-900P	Gm24504
SPATA13	Spata13
KCNS1	Kcns1
CCDC116	Ccdc116
S100G	S100g
H2AP	H2ap
MIR301B	Mir130b
MIR301B	Mir301b
WFDC12	Wfdc12
SEMG2	Semg1
SEMG2	Svs3a
SEMG2	Svs3b
DEFB116	Defb29
PPIL2	Ppil2
DEFB118	Defb21
DEFB119	Defb19
ITIH6	Itih6
PAX1	Pax1
WFDC5	Wfdc5
EBF4	Ebf4
CDKL5	Cdkl5
TTLL9	Ttll9
U2AF1	U2af1
F10	F10
YPEL1	Ypel1
SSTR4	Sstr4
THBD	Thbd
EMILIN3	Emilin3
ABHD16B	Abhd16b
RNU1-134P	Gm25818
SAMD10	Samd10
SNORD125	Gm24958
NEFH	Nefh
GPR183	Gpr183
SEL1L2	Sel1l2
FLT3	Flt3
SEC14L2	Sec14l2
MACROD2	Macrod2
FAM236B	Fam236f
FAM236B	Fam236e
TSC22D1	Tsc22d1
AKAP4	Akap4
OXGR1	Oxgr1
PIGP	Pigp
JADE3	Jade3
L3MBTL1	L3mbtl1
STOML3	Stoml3
GPR12	Gpr12
GGACT	Ggact
FOXR2	Foxr2
MAGEH1	Mageh1
CPB2	Cpb2
HEMK2	N6amt1
TSSK2	Tssk2
GSC2	Gsc2
FGF16	Fgf16
RSPH14	Rsph14
CPXCR1	Cpxcr1
PABPC5	Pabpc5
TIAM1	Tiam1
PABPC1L2A	Pabpc1l2b
PABPC1L2A	Pabpc1l2a
ARL13A	Arl13a
EIF3L	Eif3l
BRWD3	Brwd3
NANP	Nanp
DNAJC15	Dnajc15
SERP2	Serp2
RNU105B	Gm25139
RNU105B	Gm25804
RNU105B	Gm25483
EDA	Eda
KLF12	Klf12
PLCB1	Plcb1
CRYL1	Cryl1
MAGEE1	Magee1
RGCC	Rgcc
TGIF2LX	Tgif2lx1
TGIF2LX	Tgif2lx2
TCF20	Tcf20
TCF20	Zfp957
F7	F7
TEX13B	Tex13a
TEX13B	Tex13b
SYCE3	Syce3
MAGEE2	Magee2
XK	Xk
ARHGAP6	Arhgap6
TMEM191C	Tmem191
H1-0	H1f0
CLDN5	Cldn5
FAM227A	Fam227a
RIMBP3C	Rimbp3
C21orf91	D16Ertd472e
PPM1F	Ppm1f
LMO7	Lmo7
CCNB3	Ccnb3
