fam162a	Fam162b
cdk5rap2	Cdk5rap2
slc15a4	Slc15a4
dok2	Dok2
cacng7a	Cacng7
slc24a5	Slc24a5
fsta	Fst
srbd1	Srbd1
ms4a17a.4	Ms4a18
ms4a17a.4	Ms4a10
ms4a17a.4	Ms4a14
ms4a17a.4	Ms4a6d
ms4a17a.4	Ms4a6c
ms4a17a.4	Ms4a6b
ms4a17a.4	Ms4a1
ms4a17a.4	Ms4a2
ms4a17a.4	Ms4a13
ms4a17a.4	Ms4a15
ms4a17a.4	Ms4a5
ms4a17a.4	Ms4a7
ms4a17a.4	Ms4a19
ms4a17a.4	Ms4a20
abhd14b	Abhd14b
slc22a15	Slc22a19
slc22a15	Slc22a27
slc22a15	Slc22a29
slc22a15	Slc22a30
slc22a15	Slc22a28
slc22a15	Slc22a26
si:dkey-26g8.5	Cts3
si:dkey-26g8.5	Ctla2a
si:dkey-26g8.5	Ctsl
si:dkey-26g8.5	Cts6
si:dkey-26g8.5	Ctsll3
si:dkey-26g8.5	Cts7
si:dkey-26g8.5	Ctsr
si:dkey-26g8.5	Ctsm
si:dkey-26g8.5	BC051665
si:dkey-26g8.5	Ctla2b
si:dkey-26g8.5	Ctsq
si:dkey-26g8.5	Cts8
si:dkey-26g8.5	Ctsj
si:dkey-26g8.5	4930486L24Rik
adgrb1b	Adgrb1
tor4ab	Tor4a
ciao2b	Ciao2b
sh3bgrl3	Sh3bgrl3
prr36a	Prr36
itgb3b	Itgb3
steap4	Steap4
plg	Plg
rpl5a	Rpl5
deptor	Deptor
gnb5a	Gnb5
adamts9	Adamts9
matcap2	Matcap2
b3gntl1	B3gntl1
phyhd1	Phyhd1
agtrap	Agtrap
zzz3	Zzz3
parp16	Parp16
nlgn4xa	Nlgn4l
pudp	Pudp
mxd4	Mxd4
tyw1	Tyw1
ambp	Ambp
arpp19b	Arpp19
rps28	Rps28
chka	Chka
cdh28	Cdh3
tacr3a	Tacr3
ctslb	Cts3
ctslb	Ctla2a
ctslb	Ctsl
ctslb	Cts6
ctslb	Ctsll3
ctslb	Cts7
ctslb	Ctsr
ctslb	Ctsm
ctslb	BC051665
ctslb	Ctla2b
ctslb	Ctsq
ctslb	Cts8
ctslb	Ctsj
ctslb	4930486L24Rik
ebag9	Ebag9
f13a1b	F13a1
colec11	Colec11
si:ch211-197n1.2	Spata21
si:dkey-163f12.6	Fhad1
grm6b	Grm6
thy1	Thy1
mybl2b	Mybl2
ccsapa	Ccsap
ahcyl1	Ahcyl1
mif4gda	Mif4gd
drd4a	Drd4
atp1a2a	Atp1a2
ccr10	Ccr10
arhgap21b	Arhgap21
apmap	Apmap
pvrl2l	Tigit
pvrl2l	Pvr
pvrl2l	Nectin2
pvrl2l	Cd200l1
pvrl2l	Cd200l2
hephl1b	Heph
iffo1b	Iffo1
grb7	Grb7
ext1a	Ext1
nubp1	Nubp1
doc2b	Doc2b
tmc8	Tmc8
rprma	Rprm
ankk1	Ankk1
trmt1l	Trmt1l
lyplal1	Lyplal1
rbm48	Rbm48
igbp1	Igbp1b
igbp1	Igbp1
gsk3ab	Gsk3a
gpr158b	Gpr158
dazap1	Dazap1
trpc4a	Trpc4
zc3h11a	1700017N19Rik
zc3h11a	Zc3h11a
nf1b	Nf1
dcaf12	Dcaf12
atp8b4	Atp8b4
rnf169	Rnf169
aimp1a	Aimp1
creb3l3l	Creb3
si:dkeyp-97a10.3	Vstm5
cd82a	Cd82
fbxo15	Fbxo15
psmb7	Psmb7
col8a1b	Col8a1
dnmt3ab	Dnmt3a
sla2b	Sla2
matn3a	Matn3
lrrc4ba	Lrrc4b
atg3	Atg3
sh3glb1b	Sh3glb1
pagr1	Gm42742
pagr1	Pagr1a
eif4h	Eif4h
skia	Ski
mdh1b	Mdh1b
znf507	Zfp507
josd1	Josd1
zgc:162025	2210016L21Rik
cd81a	Cd81
rnf141	Rnf141
mydgf	Mydgf
pkp3b	Pkp3
tnfaip8l1	Tnfaip8l1
marchf5	Marchf5
ihhb	Dhh
bmi1b	Bmi1
ccdc90b	Ccdc90b
rpl5b	Rpl5
g3bp2a	G3bp2
timm23a	Timm23
nyx	Nyx
rpap1	Rpap1
nutf2	Nutf2-ps1
nutf2	Nutf2
ift46	Ift46
naa60	Naa60
prune2	Prune2
si:ch211-162k9.6	Nxpe5
cebpz	Cebpz
yars2	Yars2
ndufaf7	Ndufaf7
btk	Btk
itpkca	Itpkc
ddx59	Ddx59
tmc2b	Tmc2
chrna5	Chrna5
timm17b	Timm17b
yeats4	Yeats4
fmoda	Fmod
gypc	Gypc
zcrb1	Zcrb1
pcdh11	Pcdh11x
utp4	Utp4
ost4	Ost4
mfrp	Mfrp
arsg	Arsg
tbcc	Tbcc
dalrd3	Dalrd3
adipor1a	Adipor1
si:ch73-281i18.7	Map7d1
arhgef38	Arhgef38
ncoa5	Ncoa5
arhgdig	Arhgdig
tnni1a	Tnni1
cnot6l	Cnot6l
ddr2b	Ddr2
spint1b	Wfdc8
spint1b	Spint1
spint1b	Eppin
spint1b	Wfdc6a
spint1b	Wfdc6b
spint1b	Spint4
spint1b	Lrp11
sftpbb	Psapl1
sftpbb	Sftpb
tbl1xr1a	Tbl1xr1
kcnk6	Kcnk6
psd2	Psd2
smarcd1	Smarcd1
si:dkeyp-72g9.4	Depp1
nts	Nts
pi15a	Pi15
ptbp3	Ptbp3
prkag3a	Prkag3
itgb5	Itgb5
cyp1b1	Cyp1b1
sgca	Sgca
terb1	Terb1
kctd8	Kctd8
ttpal	Ttpal
aldh16a1	Aldh16a1
BDKRB2	Bdkrb2
rtcb	Rtcb
ptprfb	Ptprf
stoml1	Stoml1
rubcnl	Rubcnl
il15	Il15
nmnat2	Nmnat2
F2R	F2r
kpna2	Kpna2rt
kpna2	Kpna2
fmnl1a	Fmnl1
crot	Crot
glsb	Gls
itgbl1	Itgbl1
tnnt2a	Tnnt2
birc6	Birc6
eppk1	Dsp
fam102bb	Eeig2
cacng8b	Cacng8
smpd2b	Smpd2
hcfc2	Klhdc9
selenok	Selenok
nefmb	Nefm
elfn2a	Elfn2
ccn4a	Ccn4
ccdc24	Ccdc24
ccny	Ccny
ntn2	Ntn3
csmd2	Cr2
lft2	Lefty1
lft2	Lefty2
ugp2b	Ugp2
pnocb	Pnoc
C5H2orf68	0610030E20Rik
mtmr10	Mtmr10
myo15ab	Myo15a
dnmt3bb.3	Dnmt3l
dmtn	Dmtn
thrap3b	Thrap3
cul3a	Cul3
diras1b	Diras1
calm1a	Calm3
calm1a	Calml3
cnep1r1	Cnep1r1
rin2b	Rin2
rrp7a	Rrp7a
tsr2	Tsr2
dhcr7	Dhcr7
zc3h12aa	Zc3h12a
si:ch211-125e6.13	Reg1
si:ch211-125e6.13	Reg2
ccr11.1	Ccr1
ccr11.1	Ccr2
ccr11.1	Ccr4
ccr11.1	Ccr5
ccr11.1	Ccr1l1
ccr11.1	Ccrl2
ccr11.1	Ccr3
ccr11.1	Ccr8
mc3r	Mc3r
dffb	Dffb
nrp2a	Nrp2
rhd	Rhd
lsm10	Lsm10
ints3	Ints3
atp6v1h	Atp6v1h
slc16a12b	Slc16a12
hbl1	Mbl1
hbl1	Mbl2
sh3kbp1	Sh3kbp1
si:ch73-56d11.5	Ms4a18
si:ch73-56d11.5	Ms4a10
si:ch73-56d11.5	Ms4a14
si:ch73-56d11.5	Ms4a6d
si:ch73-56d11.5	Ms4a6c
si:ch73-56d11.5	Ms4a6b
si:ch73-56d11.5	Ms4a1
si:ch73-56d11.5	Ms4a2
si:ch73-56d11.5	Ms4a13
si:ch73-56d11.5	Ms4a15
si:ch73-56d11.5	Ms4a5
si:ch73-56d11.5	Ms4a7
si:ch73-56d11.5	Ms4a19
si:ch73-56d11.5	Ms4a20
kmt2cb	Kmt2c
rhbdd2	Rhbdd2
slc25a11	Slc25a11
jupa	Jup
uox	Uox
arl8	Arl5b
syngap1b	Syngap1
atp9b	Atp9b
cntnap3	Cntnap3
nrip1b	Nrip1
slc17a7b	Slc17a7
bbs10	Bbs10
casp8ap2	Casp8ap2
psme2	Psme2b
psme2	Psme2
brpf3a	Brpf3
olfm1b	Olfm1
grin2cb	Grin2c
sh3d21	Sh3d21
nectin1b	Nectin1
mrpl40	Mrpl40
usp43a	Usp43
plekho1a	Plekho1
tmem9b	Tmem9b
tenm2b	Tenm2
pros1	Pros1
gnai2b	Gnai2
vipr2	Vipr2
map2k1	Map2k1
fmnl2a	Fmnl2
ehbp1	Ehbp1
cox10	Cox10
mcoln1a	Mcoln1
pwp1	Pwp1
ugt2a7	Ugt2a3
ugt2a7	Ugt1a6a
ugt2a7	Ugt1a6b
ugt2a7	Ugt1a2
ugt2a7	Ugt1a5
ugt2a7	Ugt1a8
ugt2a7	Ugt1a7c
ugt2a7	Ugt1a10
ugt2a7	Ugt1a9
ugt2a7	Ugt2a2
ugt2a7	Ugt2a1
meak7	Meak7
gas6	Gas6
slc7a1a	Slc7a1
mief1	Mief1
stk17b	Stk17b
mrps10	Mrps10
hgd	Hgd
grik4	Grik4
smarca1	Smarca1
sorbs2b	Sorbs2
zgc:172053	Reg1
zgc:172053	Reg2
cmc2	Cmc2
ckmt1	Ckmt1
dennd6b	Dennd6b
vwa2	Vwa2
gmppb	Gmppb
gcc1	Gcc1
gal3st1b	Gal3st1
tagln3a	Tagln3
mfap4.8	Mfap4
waslb	Wasl
zgc:198329	Ceacam20
tgs1	Tgs1
cnga3b	Cnga3
serpinb1	Serpinb1b
serpinb1	Serpinb1c
serpinb1	Serpinb1a
l1cama	L1cam
kat6b	Kat6b
polb	Polb
btf3l4	Btf3l4b
btf3l4	Btf3l4
fam222bb	Fam222b
paxx	Paxx
mmadhca	Mmadhc
si:ch73-173p19.2	Atp6v0a4
arxa	Arx
ubap1la	Ubap1l
ift52	Ift52
ninj1	Ninj1
kctd3	Kctd3
cart3	Cartpt
sdha	Sdha
abca3b	Abca3
setd6	Setd6
ufm1	Ufm1
radil	Radil
kif13ba	Kif13b
zeb1b	Zeb1
zgc:110366	Akr1b8
zgc:110366	Akr1b10
zgc:110366	Akr1b7
zgc:110366	Akr1c13
zgc:110366	Akr1c12
zgc:110366	Akr1c19
slc7a2	Slc7a2
slc7a2	Slc7a13
slc7a2	Slc7a11
slc7a2	Slc7a12
slc7a2	AU018091
krr1	Krr1
slc26a6	Slc26a6
taf6	Taf6
wdhd1	Wdhd1
thbs2b	Thbs2
acvr1ba	Acvr1b
rxfp3	Rxfp3
mfn1b	Mfn1
otol1b	Otol1
h2az2a	H2az2
rpp21	Rpp21
ddhd2	Ddhd2
si:dkey-35i13.1	AI593442
ep300a	Ep300
purba	Purb
tmem123	Tmem123
ctnnd1	Ctnnd1
pde10a	Pde10a
bambia	Bambi
olfm1a	Olfm1
dyrk3	Dyrk3
kcns3a	Kcns3
rev3l	Rev3l
sox10	Sox10
asic2	Asic2
rxfp2a	Rxfp2
lft1	Lefty1
lft1	Lefty2
pdhb	Pdhb
ephb2a	Ephb2
tceanc2	Tceanc2
atp8b3	Atp8b3
trmt12	Trmt12
ttll1	Ttll1
gpa33a	Esam
dimt1l	Dimt1
nlgn1	Nlgn1
mbnl3	Mbnl3
p2ry10	P2ry10
p2ry10	P2ry10b
trpc6a	Trpc6
oxgr1a.3	Oxgr1
entpd6	Entpd6
gprc5bb	Gprc5b
fgf3	Fgf3
slco3a1a	Slco3a1
evi5b	Evi5
vsnl1b	Vsnl1
las1l	Las1l
fam210ab	Fam210a
tmem63c	Tmem63c
ccne1	Ccne1
rfx5	Rfx5
kctd2	Kctd2
gfm2	Gfm2
hexd	Hexd
dtymk	Dtymk
apba2b	Apba2
wfdc1	Wfdc1
rgs7a	Rgs7
nrg1	Nrg1
si:ch211-117k10.3	Zfp352
si:ch211-117k10.3	Klf14
si:ch211-117k10.3	Klf17
kcnt1a	Kcnt1
nck2a	Nck2
bco2a	Bco2
pacsin3	Pacsin3
slc5a1	Slc5a1
orai2	Orai2
selenot1a	Selenot
kgd4	Mrps36
plin2	Plin2
lias	Lias
asah1a	Asah1
mtmr12	Mtmr12
irak1bp1	Irak1bp1
otud7b	Otud7b
asap1a	Asap1
tbc1d24	Tbc1d24
lbx1a	Lbx2
lbx1a	Lbx1
trim71	Trim71
cpsf6	Cpsf6
clcn7	Clcn7
usp9	Usp9y
usp9	Usp9x
id4	Id4
sinhcaf	Sinhcaf
fuca1.1	Fuca1
sdhaf4	Sdhaf4
hoxb13a	Hoxb13
TTC9	Ttc9
lrpap1	Lrpap1
rbms3	Rbms3
tcf20	Tcf20
tcf20	Zfp957
chd2	Chd2
st6gal2a	St6gal2
zgc:85936	Ankle1
cnot9	Cnot9
alas1	Alas1
polr1b	Polr1b
parvab	Parva
lectin	Reg1
lectin	Reg2
amy2a	Amy2a5
amy2a	Amy2a2
amy2a	Amy2a1
amy2a	Amy2a3
amy2a	Amy2a4
rgs8	Rgs8
rgs8	Rgs16
slc35e3	Slc35e3
zgc:172065	Septin14
il10rb	Ifnar1
smc4	Smc4
sdcbp	Sdcbp2
syt6b	Syt6
tas1r2.1	Tas1r2
chaf1a	Chaf1a
ddt	Ddt
lyrm9	Lyrm9
odad3	Odad3
acbd3	Acbd3
zgc:152968	Aen
si:dkey-78a14.4	Nat2
si:dkey-78a14.4	Nat3
si:dkey-78a14.4	Nat1
qdprb.4	Qdpr
alox5a	Alox5
epha4a	Epha4
mtap	Mtap
tmem51b	Tmem51
cdca4	Cdca4
myh9b	Myh9
pan3	Pan3
fam8a1a	Fam8a1
lysmd4	Lysmd4
eef2a.2	Gspt2
eef2a.2	Eif5b
pdca	Pdc
e2f8	E2f8
cyp26a1	Cyp26a1
lrrc10	Lrrc10
elp2	Elp2
si:ch211-161c3.6	Hmga1b
si:ch211-161c3.6	Hmga1
rbm39a	Rbm39
snx9a	Snx9
lig1	Lig1
cnsta	Cnst
slc22a2	Slc22a2
znf385b	Zfp385b
chmp4c	Chmp4c
slc38a3a	Slc38a3
mhc1lca	Raet1d
mhc1lca	Cd1d2
mhc1lca	Cd1d1
mhc1lca	Ulbp1
mhc1lca	Raet1e
slc5a5	Slc5a5
dipk1aa	Dipk1a
slc30a5	Slc30a5
lrrc75a	Lrrc75a
kif3b	Kif3b
armc8	Armc8
gpr108	Gpr108
tmcc2	Tmcc2
morn4	Morn4
cdk7	Cdk7
zdhhc13	Zdhhc13
mfap4.11	Mfap4
tbcela	Tbcel
smyd2a	Smyd2
smek1	Ppp4r3a
pcnx4	Pcnx4
ptprnb	Ptprn
wdfy3	Wdfy3
ank3a	Ank3
cntrl	Cntrl
arl14ep	Arl14ep
mfap4.10	Mfap4
rab11a	Rab11a
rbp3	Rbp3
cnr1	Cnr1
tmt1a.2	Tmt1a2
tmt1a.2	Tmt1a
tmt1a.2	Tmt1a3
dnai4	Dnai4
gdpd5b	Gdpd5
malb	Mal
chchd2	Chchd2
sult1st4	Sult1e1
sult1st4	Sult1a1
sult1st4	Sult2a8
sult1st4	Sult2a1
sult1st4	Sult2a2
sult1st4	Sult2a3
sult1st4	Sult2a4
sult1st4	Sult2a5
sult1st4	Sult2a6
sult1st4	Sult2a7
tmem30b	Tmem30b
rad21b	Rad21
ifitm5	Ifitm5
si:dkey-84o3.7	Htra2
acot22	Acot5
acot22	Acot2
acot22	Acot1
acot22	Acot6
acot22	Acot4
acot22	Acot3
mrps33	Mrps33
abhd8b	Abhd8
cables1	Cables1
ank3b	Ank3
mbtps2	Mbtps2
gpr137	Gpr137
med22	Med22
cenpf	Cenpf
vdac2	Vdac2
dnpep	Dnpep
si:ch73-368j24.12	H1f5
abca1a	Abca1
parp2	Parp2
rnf19b	Rnf19b
tspan11	Tspan11
adipor2	Adipor2
ddi2	Ddi1
prkra	Prkra
kcnk1b	Kcnk1
corin	Corin
anxa5b	Anxa5
ksr2	Ksr2
ryr2b	Ryr2
fzd3a	Fzd3
haus8	Haus8
hao1	Hao1
cpsf1	Cpsf1
mark3b	Mark3
mlh3	Mlh3
arhgap29a	Arhgap29
gltpd2a	Cptp
gltpd2a	Gltpd2
wdr6	Wdr6
med25	Med25
med25	Ptov1
btaf1	Btaf1
mppe1	Mppe1
cdh31	Cdh3
elp1	Elp1
ccdc28a	Ccdc28a
snap23.2	Snap23
paxip1	Paxip1
paqr3b	Paqr3
barx2	Barx2
mthfr	Mthfr
gramd1a	Gramd1a
mrps11	Mrps11
si:ch211-241e1.3	Lama3
mrpl37	Mrpl37
nrros	Nrros
rassf2a	Rassf2
cmah	Cmah
copz2	Copz2
SERP1	Serp1
sult6b1	Sult6b1
ankrd10b	Ankrd10
ubxn1	Ubxn1
noxa1	Noxa1
bora	Bora
ppih	Ppih
ppih	Ppihl
rpain	Rpain
flot1b	Flot1
sgf29	Sgf29
si:dkey-1h4.5	Terb2
plscr3b	Plscr3
plscr3b	Plscr4
hnrnpub	Hnrnpu
exosc1	Exosc1
si:dkeyp-47f9.4	Clip4
smim29	Smim29
cd248b	Cd93
znf654	Zfp654
galnt2	Galnt2
casp7	Casp7
cd151l	Cd151
si:ch211-285c6.4	Septin14
ddx56	Ddx56
prrc2a	Prrc2a
prelp	Prelp
psmb8a	Psmb8
acot9.2	Acot10
acot9.2	Acot9
szrd1	Szrd1
rgl1	Rgl1
desi1b	Desi1
si:zfos-1011f11.2	Ildr2
dcp1b	Dcp1b
thoc5	Thoc5
cnot6a	Cnot6
ptf1a	Ptf1a
epb41l4b	Epb41l4b
ptpra	Ptpra
brinp3a.2	Brinp3
bglap	Bglap2
bglap	Bglap3
bglap	Bglap
rap2c	Rap2c
cyp11a1.1	Cyp11a1
tmem104	Tmem104
sfxn5b	Sfxn5
rbfox3a	Rbfox3
c1qa	C1qa
capn3b	Capn3
cyp2u1	Cyp2u1
impdh2	Impdh2
pdia4	Pdia4
zic1	Zic1
eps8b	Eps8l2
lmna	Lmna
rpl9	Rpl9
rpl9	Rpl9-ps6
ccdc137	Ccdc137
dbx1a	Dbx1
nfatc3a	Nfatc3
rbbp5	Rbbp5
rassf9	Rassf9
mettl21ca	Mettl21c
gfpt2	Gfpt2
tcof1	Tcof1
pole4	Pole4
dennd5b	Dennd5b
morc2	Morc2a
morc2	Morc2b
atxn2l	Atxn2l
rergla	Rergl
mcm3	Mcm3
rbm8a	Rbm8a
rbm8a	Rbm8a2
aebp1b	Aebp1
si:ch73-281i18.3	Map7d1
emc10	Emc10
arih2	Arih2
scamp3	Scamp3
p3h4	P3h4
fbxl15	Fbxl15
soat1	Soat1
rpl22	Rpl22
panx1b	Panx1
wbp2nl	Wbp2nl
senp3b	Senp3
b3gnt7l	B3gnt6
F2R	F2r
tead3b	Tead3
penkb	Penk
atp2b1b	Atp2b1
rapgef4b	Rapgef4
zbtb17	Zbtb17
patj	Patj
ctss1	Tinag
ctss1	Ctsw
ctss1	Ctsf
snapc5	Snapc5
si:ch211-147a11.3	A430005L14Rik
suv39h1a	Suv39h1
hoxd4a	Hoxd4
tgm5l	Tgm6
tgm5l	Tgm7
tgm5l	Tgm5
tgm5l	Epb42
tgm5l	Tgm3
spcs3	Arxes2
spcs3	Spcs3
spcs3	Arxes1
gsdmea	Gsdme
arpc4l	Arpc4
mtmr9	Mtmr9
chmp7	Chmp7
abcc5	Abcc5
trappc3	Trappc3
galnt16	Galnt16
ifi44c2	Ifi44l
ifi44c2	Ifi44
smarcb1b	Smarcb1
hacl1	Hacl1
abcc13	Abcc6
si:dkey-65b13.11	Rock2
wdr31	Wdr31
pabpn1	Pabpn1
txnipb	Txnip
clasrp	Clasrp
slc18b1	Slc18b1
il1rapl1a	Il1rapl1
mgat3a	Mgat3
csad	Csad
cfap52	Cfap52
dhrs13a.3	Dhrs13
mhc1laa	Raet1d
mhc1laa	Cd1d2
mhc1laa	Cd1d1
mhc1laa	Ulbp1
mhc1laa	Raet1e
epn1a	Epn1
gabbr2	Gabbr2
aldh1l2	Aldh1l2
bcat2	Bcat2
mllt3	Mllt3
gfm1	Gfm1
tmem120b	Tmem120b
tlx3b	Tlx3
sh3gl1b	Sh3gl1
nr2f2	Nr2f2
si:ch1073-224n8.1	Zfp422
si:ch1073-224n8.1	Zfp41
coq8b	Coq8b
edil3a	Edil3
nudcd3	Nudcd3
plvapb	Plvap
tp63	Trp63
ncbp2as2	Ncbp2as2
nfyal	Nfya
mpst	Tst
ifi35	Ifi35
bbs7	Bbs7
mrps24	Mrps24
cdh29	Cdh3
ddx20	Ddx20
znhit1	Znhit1
vgll2a	Vgll2
caln1	Caln1
tp73	Trp73
hfm1	Hfm1
prrx1b	Prrx1
spic	Spic
si:ch211-59o9.10	Srsf19
p2ry12	P2ry12
rpl21	Rpl21
scnm1	Scnm1
snapc3	Snapc3
npm1a	Npm1
afap1l2	Afap1l2
wdr17	Wdr17
epyc	Epyc
si:ch73-334d15.4	Kcnc2
cnksr2a	Cnksr2
igfbp3	Igfbp3
ube2b	Ube2b
stmn2b	Stmn2
slc35f1	Slc35f1
zic2a	Zic2
mfsd14a1	Mfsd14a
kalrnb	Kalrn
zzef1	Zzef1
taf2	Taf2
dnaaf9	Dnaaf9
atp1b1b	Atp1b1
gltpd2b	Cptp
gltpd2b	Gltpd2
dynlt2b	Dynlt2b
prps1a	Prps1
prps1a	Prps1l1
prps1a	Prps1l3
dbr1	Dbr1
hps1	Hps1
st3gal7	6430550D23Rik
ccdc167	Ccdc167
rabgef1	Rabgef1
chrna3	Chrna3
si:ch211-286b5.8	Cd22
myd88	Myd88
asnsd1	Asnsd1
lamb1a	Lamb1
rpp25l	Rpp25l
tomm6	Tomm6
bin3	Bin3
aqp8b	Aqp5
aqp8b	Aqp6
furinb	Furin
cfd	Cfd
zgc:110626	Arrdc5
ppp1r14aa	Ppp1r14a
ganaba	Ganab
slc13a4	Slc13a4
med11	Med11
dync1i1b	Dync1i1
slc25a25b	Slc25a25
sptssb	Sptssb
SSBP4	Ssbp4
mvda	Mvd
f7	F7
hivep3a	Hivep3
st3gal8	6430550D23Rik
ephx4	Ephx4
rnf145b	Rnf145
erbin	Erbin
nr2c2ap	Nr2c2ap
adam11	Adam11
glra4a	Glra4
zbtb41	Zbtb41
lyrm1	Lyrm1
neu1	Neu1
layna	Layn
kctd6a	Kctd6
ubl3a	Ubl3
itpr1b	Itpr1
camkmt	Camkmt
cyp4v2a	Cyp4v3
entpd5a	Entpd5
adra1ba	Adra1b
chst2b	Chst2
dpp7	Dpp7
ppm1nb	Ppm1m
ppm1nb	Ppm1j
ppm1nb	Ppm1n
mapk4	Mapk4
gja3	Gja3
pbrm1	Pbrm1
mfsd4b	Mfsd4b5
mfsd4b	Mfsd4b1
mfsd4b	Mfsd4b4
hrob	Hrob
pcf11	Pcf11
ACBD3	Acbd3
fam161b	Fam161b
mrs2	Mrs2
pex11a	Pex11a
mgst1.2	Mgst1
ect2	Ect2
meiosin	Meiosin
mtus1a	Mtus1
cacna1c	Cacna1c
wrn	Wrn
sfrp1b	Sfrp1
ovca2	Ovca2
ipo8	Ipo8
tmem151bb	Tmem151b
harbi1	Harbi1
pskh1	Pskh1
vipr1b	Vipr1
mrpl9	Mrpl9
ark2ca	Ark2c
si:dkey-285b23.4	Nxpe5
slc34a1b	Slc34a1
fam120c	Fam120c
nln	Nln
ndufa10	Ndufa10
malt1	Malt1
sv2a	Sv2a
dnase1	Dnase1
dnase1	Dnase1l2
prickle3	Prickle3
esd	Esd
tent5bb	Tent5b
ide	Ide
CACNA2D4	Cacna2d4
prph2a	Prph2
tnnc2.2	Tnnc2
asic1a	Asic1
nebl	Lasp1
pkp2	Pkp2
wtap	Wtap
map3k14a	Map3k14
skor1b	Skor1
sptbn1	Sptbn1
gpatch8	Gpatch8
rpl36	Rpl36
eef1e1	Eef1e1
si:dkey-246g23.4	Slc16a11
lifrb	Il12rb1
lifrb	Crlf2
lifrb	Il2rg
lifrb	Osmr
