mt-nd1	MT-ND1
tatdn1	TATDN1
syt4	SYT4
nbas	NBAS
lcat	LCAT
slc10a4	SLC10A4
map2k4b	MAP2K4
mdm4	MDM4
capn2b	CAPN2
IGFBP3	IGFBP3
safb	SAFB
uba2	UBA2
igfbp1b	IGFBP1
rab6a	RAB6A
tmem91	TMEM91
tmem91	PMIS2
marveld2a	MARVELD2
slc41a2b	SLC41A2
adcy1b	ADCY1
ppp1r13l	PPP1R13L
slc26a11	SLC26A11
rpl13	RPL13
mpv17l2	MPV17L2
rnf139	RNF139
opa3	OPA3
zar1	ZAR1
oclna	OCLN
lpla	LPL
chst11	CHST11
RBPMS	RBPMS
vamp3	VAMP3
RAB3A	RAB3A
MYOCD	MYOCD
ca5a	CA5B
HNRNPUL1	HNRNPUL1
tmem65	TMEM65
ucp2	UCP2
borcs6	BORCS6
slc7a5	SLC7A5
socs4	SOCS4
nfybb	NFYB
sgsh	SGSH
JUND	JUND
rasgrp4	RASGRP4
dnajb13	DNAJB13
mrps28	MRPS28
per3	PER3
DMRTA1	DMRTA1
npb	NPW
npb	NPB
lsm4	LSM4
larp1	LARP1
klhdc4	KLHDC4
shisa6	SHISA6
ppme1	PPME1
podxl	PODXL
sult1st6	SULT1C4
ankrd34ba	ANKRD34B
PGPEP1	PGPEP1
cpne7	CPNE7
mkln1	MKLN1
rasgrf2a	RASGRF2
ddx1	DDX1
raf1a	RAF1
psma5	PSMA5
parvb	PARVB
sde2	SDE2
tctn3	TCTN3
ppid	PPID
mtif2	MTIF2
fryl	FRYL
UPF1	UPF1
mto1	MTO1
xpc	XPC
tbcd	TBCD
itsn2a	ITSN2
wbp2nl	WBP2NL
ndufs5	NDUFS5
tfap2c	TFAP2C
plch2a	PLCH2
atxn2l	ATXN2L
RSPH1	RSPH1
jph3b	JPH3
si:ch1073-396h14.1	ADAM21
si:ch1073-396h14.1	ADAM29
pcyt2	PCYT2
GAS7	GAS7
cyb5b	CYB5B
hebp1	HEBP1
adprh	ADPRH
arih2	ARIH2
si:ch1073-314i13.4	FMC1
znf750	ZNF750
etfdh	ETFDH
tpm4a	TPM4
dhx38	DHX38
rnf20	RNF20
rtf2	RTF2
grin2b	GRIN2B
nek4	NEK4
SCGN	SCGN
lhx6a	LHX6
nectin3b	NECTIN3
metrnla	METRNL
ckmt2a	CKMT2
ELAVL2	ELAVL2
spcs1	SPCS1
rtn2b	RTN2
gcnt7	GCNT7
pex10	PEX10
dus4l	DUS4L
ndel1b	NDEL1
gp1bb	GP1BB
tsnare1	TSNARE1
net1	NET1
pts	PTS
gnl3	GNL3
ak2	AK2
eya2	EYA2
CAAP1	CAAP1
zcchc14	ZCCHC14
ryr1b	RYR1
SLC24A1	SLC24A1
slc25a16	SLC25A16
septin5a	SEPTIN5
rxfp1	RXFP1
faxdc2	FAXDC2
ppm1nb	PPM1M
ppm1nb	PPM1J
ppm1nb	PPM1N
syn2a	SYN2
atp2c1	ATP2C1
rbm18	RBM18
parvg	PARVG
renbp	RENBP
glp2r	GLP2R
rflnb	RFLNB
ddx49	DDX49
dntt	DNTT
sirt7	SIRT7
prrt2	PRRT2
melk	MELK
glt8d1	GLT8D1
tcf20	TCF20
map1lc3b	MAP1LC3B2
map1lc3b	MAP1LC3B
impdh2	IMPDH2
phlpp1	PHLPP1
vps53	VPS53
zfhx3b	ZFHX3
sec14l7	SEC14L4
sec14l7	SEC14L6
sec14l7	SEC14L2
sec14l7	SEC14L3
shisal1b	SHISAL1
gsg1	GSG1
kcnk12l	KCNK17
kcnk12l	KCNK7
macroh2a1	MACROH2A1
arhgap44a	ARHGAP44
pax5	PAX5
rcvrn2	RCVRN
camk1b	CAMK1
EMP1	EMP1
alox5b.1	ALOX5
aldob	ALDOB
vgll4a	VGLL4
kif22	KIF22
cdk14	CDK14
gnpat2	GNPAT
ola-mir-29c	MIR29A
pold2	POLD2
crispld2	CRISPLD2
tgm5l	TGM3
tgm5l	TGM5
tgm5l	EPB42
tgm5l	TGM6
tgm5l	TGM7
mrrf	MRRF
det1	DET1
ccdc61	CCDC61
slc6a1a	SLC6A1
ADPRM	ADPRM
aldh5a1	ALDH5A1
cnnm4a	CNNM4
blnk	BLNK
dennd2da	DENND2D
sptbn1	SPTBN1
nono	NONO
pagr1	PAGR1
MAFG	MAFG
HSH2D	HSH2D
lpin1b	LPIN1
ccdc3b	CCDC3
homer3b	HOMER3
tmco6	TMCO6
NPC1L1	NPC1L1
tlcd3bb	TLCD3B
pycr1b	PYCR2
pycr1b	PYCR1
tax1bp3	TAX1BP3
sfpq	SFPQ
atg12	ATG12
neu3b	NEU3
gdi2	GDI2
arsia	ARSI
gpatch2	GPATCH2
pxmp4	PXMP4
ranbp10	RANBP10
isoc2	ISOC2
marchf8	MARCHF8
zgc:63587	SEPTIN14
abca5	ABCA5
ADORA1	ADORA1
CNNM3	CNNM3
PCBD2	PCBD2
kiaa0319	KIAA0319
lypla2	LYPLA2
uba52	UBA52
txndc15	TXNDC15
pgm2	PGM2
pithd1	PITHD1
slc1a6	SLC1A6
plxnb2b	PLXNB2
itcha	ITCH
ADGRL3	ADGRL3
plgrkt	PLGRKT
aspscr1	ASPSCR1
rictora	RICTOR
usp10	USP10
ccnj	CCNJ
mep1bb	MEP1B
ankrd16	ANKRD16
mgp	MGP
tbc1d1	TBC1D1
mazb	MAZ
zgc:172282	LRFN3
arrdc2	ARRDC2
fzd1	FZD1
stk38a	STK38
polr3f	POLR3F
pls3	PLS3
eloa	ELOA2
eloa	ELOA
jak2a	JAK2
cpne5b	CPNE5
epn1a	EPN1
TMC6	TMC6
glt8d2	GLT8D2
znrf2b	ZNRF2
appl2	TUBGCP6
slc22a18	SLC67A1
dalrd3	DALRD3
ripk1l	RIPK1
spo11	SPO11
NR2E3	NR2E3
nod1	NOD1
pole4	POLE4
btaf1	BTAF1
cldn5a	CLDN5
zfand4	ZFAND4
GPRC5D	GPRC5D
GPRC5D	GPRC5A
dusp22b	DUSP22
PURB	PURB
klf3	KLF3
irf4a	IRF4
zgc:65811	CD9
rpl11	RPL11
foxq1a	FOXQ1
kif21b	KIF21B
polm	POLM
ADM2	ADM2
cdc45	CDC45
kat14	KAT14
fam114a1	FAM114A1
sgsm2	SGSM2
gclm	GCLM
taok2b	TAOK2
cnga2b	CNGA2
ENPP2	ENPP2
nutf2	NUTF2
elk1	ELK1
plpp5	PLPP5
foxc1a	FOXC1
APPL2	APPL2
klhl5	KLHL5
a1cf	A1CF
mfap5	MFAP5
pdgfrb	PDGFRB
PET117	PET117
hs3st3b1a	HS3ST3B1
hs3st3b1a	NDST3
hs3st3b1a	HS3ST3A1
mylk4a	MYLK4
dnttip2	DNTTIP2
rraga	RRAGB
rraga	RRAGA
cabp5a	CABP5
wdr26b	WDR26
bmp7b	BMP7
uxt	UXT
NECAP1	NECAP1
pmp22a	PMP22
ddx47	DDX47
edc4	EDC4
nsd3	NSD3
celsr3	CELSR3
sbf1	SBF1
chmp1b	CHMP1B
nif3l1	NIF3L1
bloc1s1	BLOC1S1
cdc42ep4a	CDC42EP4
aicda	AICDA
TBX6	TBX6
wrnip1	WRNIP1
tent5d	TENT5D
nrn1la	NRN1L
spata6	SPATA6L
spata6	SPATA6
cdk20	CDK20
lyrm9	LYRM9
rc3h2	RC3H2
tmc8	TMC8
LGALS4	LGALS4
cpeb3	CPEB3
dhx30	DHX30
ift20	IFT20
zgc:92040	PRODH2
AGBL4	AGBL4
wdr19	WDR19
brwd3	BRWD3
COL14A1	COL14A1
sdk2a	SDK2
csf1ra	CSF1R
slf2	SLF2
rdh5	RDH5
zgc:153431	TMEM63B
arg1	ARG1
letm2	LETM2
ITM2C	ITM2C
srpk1b	SRPK1
zgc:77058	C5orf24
pskh1	PSKH1
eif3c	EIF3C
eif3c	EIF3CL
syngr2b	SYNGR2
marveld3	MARVELD3
ddx46	DDX46
marchf5	MARCHF5
nuak1b	NUAK1
mbtps1	MBTPS1
PPFIA1	PPFIA1
magixa	MAGIX
wdr6	WDR6
elavl4	ELAVL4
rabgap1	RABGAP1
tk1	TK1
lhfpl5a	LHFPL5
naga	NAGA
PHLPP2	PHLPP2
cdh26.1	CDH26
tnnt2b	TNNT2
afmid	AFMID
npas2	PASD1
kcnv1	KCNV1
rnf34a	RNF34
mov10l1	CT55
mapk14b	MAPK14
gsg1l2b	GSG1L2
slc26a6	SLC26A6
hmgxb3	HMGXB3
meis3	MEIS3P2
meis3	MEIS3
hs3st3l	HS3ST6
pgam1b	PGAM1
pgam1b	PGAM4
pkp1b	PKP1
gnsb	ARSL
gnsb	ARSF
AXL	AXL
dek	DEK
rassf2a	RASSF2
dhrs7cb	DHRS7C
si:ch1073-513e17.1	SLC17A3
si:ch1073-513e17.1	SLC17A2
si:ch1073-513e17.1	SLC17A4
si:ch1073-513e17.1	SLC17A1
dmrta2	DMRTA2
marveld1	MARVELD1
IDE	IDE
sharpin	SHARPIN
creb3l4	CREB3L4
faf1	FAF1
slc38a8a	SLC38A8
rfc1	RFC1
gpaa1	GPAA1
kdm2ba	KDM2B
vegfab	VEGFA
sirt2	SIRT2
camlg	CAMLG
smpd2b	SMPD2
zgc:171482	KRCC1
nat14	NAT14
cant1b	CANT1
npr1b	NPR2
necab2	NECAB2
dbx2	DBX2
ttyh2l	TTYH2
slc23a2	SLC23A2
mgll	MGLL
mrps24	MRPS24
zgc:123217	TPSD1
zgc:123217	TPSG1
zgc:123217	TPSAB1
zgc:123217	TPSB2
znf628	ZNF628
sec24a	SEC24A
fam163aa	FAM163A
sypa	SYP
tmem167b	TMEM167B
MPDZ	MPDZ
ap1g1	AP1G1
il11a	IL11
nell2a	NELL2
sfrp5	SFRP5
chmp6a	CHMP6
tead3b	TEAD3
cdkn2c	CDKN2C
rasip1	RASIP1
si:dkey-93h22.8	PPRC1
SLC35A4	SLC35A4
golga7bb	GOLGA7B
rnf11b	RNF11
aldoab	ALDOA
nudcd3	NUDCD3
znf821	ZNF821
tdrd5	TDRD5
mrps18a	MRPS18A
ide	IDE
orai1a	ORAI1
cox6b2	COX6B2
rsph9	RSPH9
exosc4	EXOSC4
crtac1b	CRTAC1
slc2a3b	SLC2A7
slc2a3b	SLC2A3
slc2a3b	SLC2A14
atxn1l	ATXN1L
hpdb	HPD
prkar2aa	PRKAR2A
ttc39a	TTC39A
dnajc16l	DNAJC16
tmem63a	TMEM63A
cd74a	CD74
baiap2a	BAIAP2
ppp6r2a	PPP6R2
radx	RADX
dmac2	DMAC2
ldb1b	LDB1
cdab	CDA
cbll1	CBLL2
cbll1	CBLL1
nphs2	NPHS2
CRTC2	CRTC2
mtmr10	MTMR10
tgfb1a	TGFB1
si:dkey-33m11.8	PLAU
nop53	NOP53
hdac6	HDAC6
rpl9	RPL9
dpy30	DPY30
tbc1d8b	TBC1D8B
ndst1a	NDST1
si:dkey-33m11.7	PLAU
KCNIP3	KCNIP3
ogdhb	OGDH
psen2	PSEN2
dennd4b	DENND4B
loxl4	LOXL4
camk2n1	CAMK2N1
slc26a3.1	SLC26A3
aatka	AATK
jade2	JADE2
ppp5c	PPP5C
tbc1d10aa	TBC1D10A
crb1	CRB1
naa80	NAA80
ddx19b	DDX19A
ddx19b	DDX19B
kmo	KMO
GPR21	GPR21
loxl4	LOXL4
cxxc1a	CXXC1
calb2a	CALB2
tmem117	TMEM117
cdkn2aipnl	CDKN2AIPNL
h3f3c	H3-3A
hyal3	HYAL3
rbm22	RBM22
lias	LIAS
sf3a1	SF3A1
tk2	TK2
tspan10	TSPAN10
SNORA62	SNORA6
ube2b	UBE2B
eps15	EPS15
trpv6	TRPV6
impa1	IMPA1
tulp1b	TULP1
mycbp	MYCBP
si:ch1073-186i23.1	ADGRL2
dennd1b	DENND1B
strbp	STRBP
myo1ea	MYO1E
slc26a5	SLC26A5
riok1	RIOK1
armh3	ARMH3
twf1a	TWF1
pcna	PCNA
ugdh	UGDH
amt	AMT
ccdc157	CCDC157
tcf7	TCF7
hapln1b	HAPLN1
sars2	SARS2
pusl1	PUSL1
cetn3	CETN3
plekho1b	PLEKHO1
rpp40	RPP40
slc25a28	SLC25A28
psmc2	PSMC2
irak4	IRAK4
si:dkey-121a9.3	C1orf53
LURAP1L	LURAP1L
tor3a	TOR3A
arl5a	ARL5A
nlrc5	NLRC5
btbd17b	BTBD17
sult2st1	SULT1E1
sult2st1	SULT1A2
sult2st1	SULT1A1
sult2st1	SULT1A3
sult2st1	SULT1A4
sult2st1	SULT2A1
tfe3a	TFE3
slc34a1b	SLC34A1
tyrp1a	TYRP1
slc8a1a	SLC8A1
lhx9	LHX9
MAP2K6	MAP2K6
si:dkey-23o4.6	DHRSX
acap3b	ACAP3
gjb1a	GJB1
kcnj2b	KCNJ2
ociad2	OCIAD2
cacnb4a	CACNB4
fam110b	FAM110B
fgd1	FGD1
ophn1	OPHN1
ppp2cab	PPP2CA
zgc:112148	TVP23B
zgc:112148	TVP23C
dad1	DAD1
adra2da	OR13F1
adra2da	OR56A5
adra2da	OR56A1
adra2da	OR56A4
adra2da	OR56A3
aanat1b	AANAT
dcun1d4	DCUN1D4
nkx2.3	NKX2-3
nek7	NEK7
slc7a4	SLC7A4
kcna2a	KCNA2
opn3	OPN3
cttn	CTTN
simc1	SIMC1
got1	GOT1
ADAMTS20	ADAMTS20
MARCHF6	MARCHF6
skp1	SKP1
st6galnac	C20orf173
PTPRD	PTPRD
snord79.1	SNORD79
ngfb	NGF
si:dkey-260j18.2	KLHL33
arrdc3b	ARRDC3
dgcr6	DGCR6L
dgcr6	DGCR6
stam2	STAM2
psma3	PSMA3
map9	MAP9
otop2	OTOP2
cnot6b	CNOT6
sh2d3ca	SH2D3C
ar	AR
dnajc2	DNAJC2
smim14	SMIM14
vdac1	VDAC1
faxca	FAXC
gja9b	GJA9
ifrd2	IFRD2
tspan2a	TSPAN2
osbpl9	OSBPL9
slc5a2	SLC5A2
RASAL1	RASAL1
ptf1a	PTF1A
UBE2K	UBE2K
lrrc66	LRRC66
selenbp1	SELENBP1
evplb	EVPL
evplb	EVPLL
sgcb	SGCB
DTX1	DTX1
cdc42ep3	CDC42EP3
zgc:136971	DPP4
C5orf15	C5orf15
mtg2	MTG2
hacd2	HACD2
cnnm1	CNNM1
taf2	TAF2
septin5b	SEPTIN5
urm1	URM1
srsf10b	SRSF10
pmpcb	PMPCB
pi4kb	PI4KB
cep131	CEP131
ube2j2	UBE2J2
ccnc	CCNC
snx6	SNX6
slc20a1a	SLC20A1
fstl4	FSTL4
kcnip2	KCNIP2
ddx5	DDX5
cfl2	CFL2
FAHD2A	FAHD2A
spata18	SPATA18
cyp1b1	CYP1B1
pds5a	PDS5A
fbxo46	FBXO46
nanp	NANP
coq8b	COQ8B
cercam	CERCAM
hpse2	HPSE2
SS18L1	SS18L1
polr1b	POLR1B
acads	ACADS
sema3b	SEMA3B
rsph4a	RSPH4A
rsph4a	RSPH6A
adcy5	ADCY5
BAZ1A	BAZ1A
hps1	HPS1
phax	PHAX
numbl	NUMBL
cldn5b	CLDN5
tshba	TSHB
rapgef6	RAPGEF6
kcnc2	KCNC2
st3gal7	C20orf173
slc5a8l	SLC5A4
crybb1	CRYBB1
hipk1b	HIPK1
gpat2	GPAT2
cryba4	CRYBA4
cmbl	CMBL
smurf2	SMURF2
slc9a1b	SLC9A1
ehd4	EHD4
ZNF830	ZNF830
morn4	MORN4
unm_hu7912	AJM1
fbxw4	FBXW4
pgm3	PGM3
sardh	SARDH
g2e3	PHF7
g2e3	G2E3
cahz	CA1
cahz	CA2
cahz	CA9
cahz	CA13
cahz	CA3
cahz	CA11
fgf8a	FGF8
cdc27	CDC27
grk3	GRK3
mir223	MIR223
tiam2a	TIAM2
prickle1a	PRICKLE1
cct5	CCT5
rhbdd1	RHBDD1
cpne2	CPNE2
guca1g	GUCA1C
guca1g	HPCAL4
nploc4	NPLOC4
adra2b	ADRA2B
scfd1	SCFD1
slc2a15a	SLC2A7
sec22ba	SEC22B
galnt17	GALNT17
gapvd1	GAPVD1
dusp2	DUSP2
ZHX1	ZHX1
prune	PRUNE1
msna	ERMN
rapgef4a	RAPGEF4
psmd3	PSMD3
sycp1	SYCP1
rnf111	RNF111
sema3bl	SEMA3G
si:ch73-89b15.3	CES5A
si:ch73-89b15.3	CES1
si:ch73-89b15.3	CES2
abl2	ABL2
cherp	CHERP
rhoh	RHOH
soat1	SOAT1
SCAF8	SCAF8
slit1a	SLIT1
snap91b	SNAP91
actr8	ACTR8
cfap69	CFAP69
kpna2	KPNA2
pde6gb	PDE6G
chrna9a	CHRNA9
CALN1	CALN1
psme3ip1	PSME3IP1
tsen15	TSEN15
nap1l1	NAP1L1
mtrr	MTRR
OXLD1	OXLD1
dpf1	DPF1
GRIK2	GRIK2
zgc:153115	KLF16
zgc:153115	KLF18
zgc:153115	KLF14
zgc:153115	KLF17
rapgef4a	RAPGEF4
PPHLN1	PPHLN1
tlx1	TLX1
dbh	DBH
tyw1	TYW1B
tyw1	TYW1
USP53	USP53
sec22a	SEC22A
sez6l	SEZ6L
bnipl	BNIPL
gprc5c	GPRC5C
KDM1B	KDM1B
slc5a9	SLC5A9
sdhaf4	SDHAF4
ripk2	RIPK2
bptf	BPTF
exosc6	EXOSC6
LSM14B	LSM14B
gpr142	GPR142
myoz2a	MYOZ2
cep68	CEP68
phf13	PHF13
YAF2	YAF2
aars1	AARS1
btbd17a	BTBD17
ush1ga	USH1G
TAF4	TAF4
rab1ab	RAB1B
rpe65a	RPE65
SYNPO2	SYNPO2
selenok	SELENOK
coch	COCH
amn	AMN
map2k6	MAP2K6
pdia5	PDIA5
slc48a1b	SLC48A1
sema5a	SEMA5A
fam163ba	FAM163B
msh3	MSH3
dmbx1a	DMBX1
hells	HELLS
HID1	HID1
CDH4	CDH4
qpct	QPCT
swi5	SWI5
il17rb	IL17RB
ift172	IFT172
pxylp1	PXYLP1
sec24d	SEC24D
slc16a1a	SLC16A1
sltm	SLTM
RNF11	RNF11
hdac7b	HDAC7
nsun4	NSUN4
chdh	CHDH
OSBPL8	OSBPL8
slc27a4	SLC27A4
kpna2	KPNA2
kpnb1	KPNB1
gfpt2	GFPT2
mocs3	MOCS3
kcnj2a	KCNJ2
sbds	SBDS
strn3	STRN3
Orla-DFA	HLA-DQA1
Orla-DFA	HLA-DQA2
slit2	SLIT2
cacna1eb	CACNA1E
kcnj16	KCNJ16
fnip1	FNIP1
mindy2	MINDY2
si:dkey-32n7.7	TPSD1
si:dkey-32n7.7	TPSG1
si:dkey-32n7.7	TPSAB1
si:dkey-32n7.7	TPSB2
st3gal2	ST3GAL2
DPY19L4	DPY19L4
trappc8	TRAPPC8
epha4a	EPHA4
sema5ba	SEMA5B
KCNK15	KCNK15
rasgrf2b	RASGRF2
pld3	PLD3
vdrb	VDR
sh3tc1	SH3TC1
abtb2a	ABTB2
vkorc1	VKORC1
pif1	PIF1
cdca7a	CDCA7
ogfr	OGFR
tafa3a	TAFA3
bahcc1a	BAHCC1
mapk7	MAPK7
CACNA1D	CACNA1D
znf16l	ZNF22
znf16l	ZFP41
zc3h12b	ZC3H12B
KCNIP4	KCNIP4
sp3a	SP3
exoc7	EXOC7
calhm3	CALHM3
zgc:92313	TPSD1
zgc:92313	TPSG1
zgc:92313	TPSAB1
zgc:92313	TPSB2
hace1	HACE1
sstr1b	SSTR4
ints8	INTS8
prkd3	PRKD3
ncapd3	NCAPD3
OLA1	OLA1
mvb12bb	MVB12B
fscn2a	FSCN2
large2	LARGE2
zdhhc17	ZDHHC17
irf2bp1	IRF2BP1
pax3b	PAX3
ppm1j	PPM1M
ppm1j	PPM1J
ppm1j	PPM1N
polr1g	POLR1G
slc4a5b	SLC4A5
adam10a	ADAM18
adam10a	ADAM20
adam10a	ADAM32
adam10a	ADAM7
adam10a	ADAM21
adam10a	ADAM30
adam10a	ADAM29
adam10a	ADAMDEC1
adam10a	ADAM2
adam10a	ADAM10
lmx1bb	LMX1B
amer1	AMER1
grb2b	GRB2
ambp	AMBP
ncoa5	NCOA5
mmp25b	MMP12
mmp25b	MMP10
mmp25b	MMP3
mmp25b	MMP20
mmp25b	MMP27
mmp25b	MMP26
TMEM235	TMEM235
nova2	NOVA1
mapk9	MAPK9
si:ch73-181d5.4	DIDO1
gab3	GAB3
hectd1	HECTD1
usp43b	USP43
cd248a	CD93
sf3b3	SF3B3
socs3a	SOCS3
abhd8b	ABHD8
zbtb34	ZBTB34
utp18	UTP18
aifm1	AIFM1
st3gal3b	ST3GAL3
lipca	LIPC
jupa	JUP
adgra3	ADGRA3
csrp2	CSRP2
klhl14	KLHL14
si:ch211-71n6.4	CES5A
si:ch211-71n6.4	CES4A
si:ch211-71n6.4	CES1
si:ch211-71n6.4	CES2
sp9	SP9
si:dkey-26c10.5	KLRC4
si:dkey-26c10.5	OLR1
si:dkey-26c10.5	CLEC2B
si:dkey-26c10.5	KLRC3
si:dkey-26c10.5	KLRC2
si:dkey-26c10.5	CLEC2A
si:dkey-26c10.5	CLEC1A
si:dkey-26c10.5	CLEC9A
si:dkey-26c10.5	KLRB1
si:dkey-26c10.5	KLRF1
si:dkey-26c10.5	CLEC5A
si:dkey-26c10.5	KLRF2
si:dkey-26c10.5	CLEC2L
si:dkey-26c10.5	CLEC12A
si:dkey-26c10.5	KLRC1
si:dkey-26c10.5	CD69
si:dkey-26c10.5	CLEC7A
si:dkey-26c10.5	KLRD1
si:dkey-26c10.5	CLEC1B
si:dkey-26c10.5	CLEC12B
si:dkey-26c10.5	CLEC2D
si:dkey-26c10.5	KLRG2
cyth1a	CYTH1
e2f7	E2F7
DDA1	DDA1
MED15	MED15
RNF228	RNF228
prkcbp1l	ZMYND8
RASGEF1C	RASGEF1C
timm21	TIMM21
ntn1b	NTN1
aqp9b	AQP6
TACR1	TACR1
cir1	CIR1
trpm4b3	TRPM4
eml2	EML2
SGPP2	SGPP2
dcp1a	DCP1A
IRF1	IRF1
tmem126a	TMEM126A
tmem126a	TMEM126B
popdc1	POPDC1
MED15	MED15
nrarpa	NRARP
dnajc5ga	DNAJC5G
ano8b	ANO8
eif4b	EIF4B
CKMT2	CKMT2
TKT	TKT
hap1	HAP1
clk4a	CLK3
clk4a	CLK4
slc49a4	SLC49A4
neto1l	NETO1
usp36	USP36
PIK3R5	PIK3R5
thoc6	THOC6
exd3	EXD3
foxa2	FOXA2
cad	CAD
scrn3	SCRN3
farsb	FARSB
popdc3	POPDC3
dtna	DTNA
slc22a4	SLC22A6
slc22a4	SLC22A9
slc22a4	SLC22A12
slc22a4	SLC22A24
slc22a4	SLC22A3
slc22a4	SLC22A14
slc22a4	SLC22A1
slc22a4	SLC22A10
slc22a4	SLC22A25
slc22a4	SLC22A5
slc22a4	SLC22A4
slc22a4	SLC22A11
scarb1	SCARB1
kdm4ab	KDM4C
mfsd6l	MFSD6L
aldh1a2	ALDH1A2
gba3	GBA3
rwdd1	RWDD1
pax1a	PAX1
timp2b	TIMP2
NCOA3	NCOA3
gnrh-r2	GNRHR
vps52	VPS52
slc22a5	SLC22A24
slc22a5	SLC22A25
slc22a5	SLC22A11
fbxo15	FBXO15
gpr155a	GPR155
si:ch73-74h11.1	DSG2
nav3	NAV3
msi2a	MSI2
si:dkey-89b17.4	ZNF160
si:dkey-89b17.4	ZNF665
si:dkey-89b17.4	ZNF497
si:dkey-89b17.4	CTCFL
si:dkey-89b17.4	ZNF48
si:dkey-89b17.4	ZNF785
si:dkey-89b17.4	ZNF347
si:dkey-89b17.4	ZNF84
si:dkey-89b17.4	ZNF282
si:dkey-89b17.4	ZNF764
si:dkey-89b17.4	ZNF747
si:dkey-89b17.4	ZNF688
si:dkey-89b17.4	ZFP92
si:dkey-89b17.4	ZNF208
si:dkey-89b17.4	ZNF91
si:dkey-89b17.4	ZNF184
si:dkey-89b17.4	ZNF107
si:dkey-89b17.4	ZNF729
si:dkey-89b17.4	ZNF99
si:dkey-89b17.4	ZNF689
si:dkey-89b17.4	ZNF181
si:dkey-89b17.4	ZNF302
zgc:194679	B3GNT6
uts1	UCN
cbln2b	CBLN2
ppargc1a	PPARGC1A
hspbap1	HSPBAP1
slc22a21	SLC22A24
slc22a21	SLC22A25
slc22a21	SLC22A11
rbm38	RBM38
abhd8a	ABHD8
cdc37l1	CDC37L1
tom1	TOM1
mipb	MIP
nkx2.2a	NKX2-2
CHRNA1	CHRNA1
socs6a	SOCS6
vstm2l	VSTM2L
arhgef5	ARHGEF5
slc15a2	SLC15A2
ak3	AK3
tvp23b	TVP23B
